# Bivariate results
# Nyquist frequency: 0.4
# Actual number of segments: 2
# Effective number of segments: 1.9971161642588102
# Segment start and end points: [[0, 90], [45, 136]]
# Segments detrended: True
# Trend type: linear
# Window applied: BlackmanHarris
# Segment-averaged -6dB main lobe half width: 0.005182187684504628
# Rayleigh resolution (1/2 best-case resolution limit): 0.0013889441380001558
# C2xy 5% FAP (analytical): 0.9504313379999085
# C2xy 1% FAP (analytical): 0.9901323065915728
# C2xy 0.1% FAP (analytical): 0.9990197801993829
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 125.6722724017872
# Sxx 1% FAP (bootstrap): 146.48024272366496
# Syy 5% FAP (bootstrap): 4.939063036474909e-06
# Syy 1% FAP (bootstrap): 6.021027457577003e-06
# Sxx 0.1% FAP (bootstrap): 174.45989202596581
# Syy 0.1% FAP (bootstrap): 7.4351452355821065e-06
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
2.32288037e-04,8.76068332e+01,1.06317883e-05,1.50517182e+02,1.05455789e+01,-1.74344438e+02,4.53025254e-04,2.68433906e-01,6.39750035e-04,9.85432901e-01,3.47029270e+00,9.97458584e-01,4.70741461e+00,9.99692075e-01,6.19848996e+00
4.64576074e-04,8.79716109e+01,1.05577789e-05,1.50961926e+02,2.06680761e+01,-1.68815600e+02,1.09725863e-02,2.74516065e-01,1.54958111e-02,9.75352918e-01,3.09537278e+00,9.95351124e-01,4.28026063e+00,9.99668706e-01,6.14682750e+00
6.96864111e-04,8.85043463e+01,1.04341536e-05,1.51627138e+02,2.99605629e+01,-1.63525533e+02,2.74481147e-02,2.84085179e-01,3.87712226e-02,9.68269577e-01,2.91446656e+00,9.94258925e-01,4.13087636e+00,9.99432872e-01,5.76716560e+00
9.29152149e-04,8.90996145e+01,1.02608423e-05,1.52404249e+02,3.80492204e+01,-1.58560748e+02,4.85154793e-02,2.96399641e-01,6.85660753e-02,9.64096698e-01,2.82572933e+00,9.93573466e-01,4.05099550e+00,9.99261380e-01,5.58056382e+00
1.16144019e-03,8.96242207e+01,1.00383463e-05,1.53152152e+02,4.46112212e+01,-1.53977600e+02,7.26315677e-02,3.10606445e-01,1.02749266e-01,9.61654397e-01,2.77838220e+00,9.92566398e-01,3.94784869e+00,9.99206895e-01,5.53028704e+00
1.39372822e-03,8.99304665e+01,9.76815182e-06,1.53707754e+02,4.93925308e+01,-1.49804176e+02,9.83019218e-02,3.25861442e-01,1.39269071e-01,9.60292050e-01,2.75324112e+00,9.92280933e-01,3.92113951e+00,9.99435121e-01,5.76997194e+00
1.62601626e-03,8.98714270e+01,9.45304916e-06,1.53898552e+02,5.22236992e+01,-1.46047221e+02,1.24246925e-01,3.41422341e-01,1.76369464e-01,9.58936130e-01,2.72904801e+00,9.91584022e-01,3.85985947e+00,9.98878972e-01,5.28586622e+00
1.85830430e-03,8.93167762e+01,9.09727627e-06,1.53556079e+02,5.30311620e+01,-1.42701584e+02,1.49489090e-01,3.56703238e-01,2.12698387e-01,9.58507987e-01,2.72156595e+00,9.90822298e-01,3.79841070e+00,9.99064323e-01,5.41350865e+00
2.09059233e-03,8.81675032e+01,8.70645090e-06,1.52528719e+02,5.18419145e+01,-1.39759492e+02,1.73367489e-01,3.71290620e-01,2.47322920e-01,9.56627220e-01,2.68958601e+00,9.91228039e-01,3.83048159e+00,9.99040105e-01,5.39545831e+00
2.32288037e-03,8.63677705e+01,8.28730150e-06,1.50692366e+02,4.87803403e+01,-1.37217266e+02,1.95497477e-01,3.84927630e-01,2.79676308e-01,9.54406667e-01,2.65352981e+00,9.91118569e-01,3.82168791e+00,9.98813230e-01,5.24557687e+00
