# Bivariate results
# Nyquist frequency: 0.4
# Actual number of segments: 2
# Effective number of segments: 1.9971161642588102
# Segment start and end points: [[0, 90], [45, 136]]
# Segments detrended: True
# Trend type: linear
# Window applied: BlackmanHarris
# Segment-averaged -6dB main lobe half width: 0.005182187684504628
# Rayleigh resolution (1/2 best-case resolution limit): 0.0013889441380001558
# C2xy 5% FAP (analytical): 0.9504313379999085
# C2xy 1% FAP (analytical): 0.9901323065915728
# C2xy 0.1% FAP (analytical): 0.9990197801993829
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 127.16427239565279
# Sxx 1% FAP (bootstrap): 148.2554216448613
# Syy 5% FAP (bootstrap): 0.00028904306483993984
# Syy 1% FAP (bootstrap): 0.00034426184364817346
# Sxx 0.1% FAP (bootstrap): 177.8575987696933
# Syy 0.1% FAP (bootstrap): 0.00040809533658653195
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
2.32288037e-04,8.76068332e+01,4.27639007e-04,1.01731852e+03,4.99031263e+01,-8.20951936e-01,1.14850633e-01,3.35769956e-01,1.62907777e-01,9.84752909e-01,3.43783680e+00,9.97253248e-01,4.65248173e+00,9.99760067e-01,6.37467680e+00
4.64576074e-04,8.79716109e+01,4.19910276e-04,1.01616163e+03,9.62147638e+01,-4.54551195e-01,1.25174118e-01,3.41981144e-01,1.77699508e-01,9.72687323e-01,3.02190959e+00,9.94933872e-01,4.21942393e+00,9.99472574e-01,5.81842449e+00
6.96864111e-04,8.85043463e+01,4.07356244e-04,1.01425784e+03,1.35589296e+02,1.12225635e+00,1.42022064e-01,3.52168138e-01,2.01924717e-01,9.65446419e-01,2.85326961e+00,9.93917747e-01,4.08999280e+00,9.99230854e-01,5.55198216e+00
9.29152149e-04,8.90996145e+01,3.90463268e-04,1.01163605e+03,1.65164130e+02,3.32015106e+00,1.65056461e-01,3.66198599e-01,2.35240275e-01,9.60181608e-01,2.75124009e+00,9.92126683e-01,3.90711430e+00,9.99246290e-01,5.56627262e+00
1.16144019e-03,8.96242207e+01,3.69898922e-04,1.00831669e+03,1.82775693e+02,5.62710094e+00,1.94132957e-01,3.84083449e-01,2.77673350e-01,9.58333064e-01,2.71853368e+00,9.91137478e-01,3.82319843e+00,9.99063140e-01,5.41261655e+00
1.39372822e-03,8.99304665e+01,3.46489871e-04,1.00428343e+03,1.87135592e+02,7.74750159e+00,2.29494500e-01,4.06104870e-01,3.29962388e-01,9.58838995e-01,2.72734079e+00,9.91271587e-01,3.83401071e+00,9.99507938e-01,5.86744343e+00
1.62601626e-03,8.98714270e+01,3.21185032e-04,9.99440074e+02,1.77944660e+02,9.53598113e+00,2.71869408e-01,4.32901792e-01,3.93828656e-01,9.59006886e-01,2.73028727e+00,9.92053143e-01,3.90052387e+00,9.99222616e-01,5.54442745e+00
1.85830430e-03,8.93167762e+01,2.95003384e-04,9.93556012e+02,1.55922802e+02,1.09297819e+01,3.22400552e-01,4.65468700e-01,4.72123038e-01,9.57667790e-01,2.70710785e+00,9.91739548e-01,3.87308500e+00,9.99181257e-01,5.50781280e+00
2.09059233e-03,8.81675032e+01,2.68969620e-04,9.86209259e+02,1.22740069e+02,1.19101254e+01,3.82327730e-01,5.05011458e-01,5.68799318e-01,9.57470678e-01,2.70375662e+00,9.91492841e-01,3.85221899e+00,9.99108927e-01,5.44801280e+00
2.32288037e-03,8.63677705e+01,2.44044352e-04,9.76741639e+02,8.08475575e+01,1.24827826e+01,4.52358940e-01,5.52590912e-01,6.88663275e-01,9.57221731e-01,2.69954576e+00,9.91446955e-01,3.84840377e+00,9.98973374e-01,5.34798125e+00
2.55516841e-03,8.39124889e+01,2.21057780e-04,9.64243919e+02,3.32232663e+01,1.26685603e+01,5.31744551e-01,6.08493778e-01,8.36817385e-01,9.58023660e-01,2.71319715e+00,9.91295265e-01,3.83594010e+00,9.98929924e-01,5.31869472e+00
