# Bivariate results
# Nyquist frequency: 0.4
# Actual number of segments: 2
# Effective number of segments: 1.9971161642588102
# Segment start and end points: [[0, 90], [45, 136]]
# Segments detrended: True
# Trend type: linear
# Window applied: BlackmanHarris
# Segment-averaged -6dB main lobe half width: 0.005182187684504628
# Rayleigh resolution (1/2 best-case resolution limit): 0.0013889441380001558
# C2xy 5% FAP (analytical): 0.9504313379999085
# C2xy 1% FAP (analytical): 0.9901323065915728
# C2xy 0.1% FAP (analytical): 0.9990197801993829
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 95.48819802771875
# Sxx 1% FAP (bootstrap): 110.8909407351894
# Syy 5% FAP (bootstrap): 0.0006435295056028254
# Syy 1% FAP (bootstrap): 0.0007683362707608921
# Sxx 0.1% FAP (bootstrap): 133.17376610411063
# Syy 0.1% FAP (bootstrap): 0.0008978789941903082
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
2.32288037e-04,5.16778307e+01,1.40413652e-03,1.92375258e+03,5.88253462e+01,1.46859675e+01,4.67780170e-01,5.63280036e-01,7.16289285e-01,9.83602450e-01,3.38606466e+00,9.97381304e-01,4.68623653e+00,9.99737497e-01,6.31119278e+00
4.64576074e-04,5.16734197e+01,1.39974303e-03,1.91899583e+03,1.15764933e+02,2.82054287e+01,4.68562348e-01,5.63824320e-01,7.17703923e-01,9.70888660e-01,2.97623353e+00,9.95213996e-01,4.25968602e+00,9.99465718e-01,5.80930316e+00
6.96864111e-04,5.16359300e+01,1.39210876e-03,1.91023236e+03,1.68976102e+02,3.97809820e+01,4.69536677e-01,5.64502602e-01,7.19467940e-01,9.62638959e-01,2.79710359e+00,9.92800194e-01,3.97049573e+00,9.98993070e-01,5.36166283e+00
9.29152149e-04,5.15234425e+01,1.38079535e-03,1.89631015e+03,2.16702188e+02,4.91299343e+01,4.70259205e-01,5.65005799e-01,7.20777412e-01,9.58999292e-01,2.73015371e+00,9.92011438e-01,3.89681413e+00,9.98918391e-01,5.31112091e+00
1.16144019e-03,5.12836023e+01,1.36524743e-03,1.87581402e+03,2.57315088e+02,5.63283220e+01,4.70196816e-01,5.64962342e-01,7.20664297e-01,9.57781260e-01,2.70904400e+00,9.90879566e-01,3.80285356e+00,9.98498905e-01,5.07955552e+00
1.39372822e-03,5.08593480e+01,1.34484992e-03,1.84724961e+03,2.89357432e+02,6.16253240e+01,4.68793600e-01,5.63985277e-01,7.18122416e-01,9.54299925e-01,2.65184009e+00,9.90428798e-01,3.76862920e+00,9.99058355e-01,5.40902563e+00
1.62601626e-03,5.01953949e+01,1.31899863e-03,1.80925538e+03,3.11585897e+02,6.53135145e+01,4.65534183e-01,5.61718298e-01,7.12234569e-01,9.52691596e-01,2.62683654e+00,9.91023126e-01,3.81410406e+00,9.99257835e-01,5.57717550e+00
1.85830430e-03,4.92448463e+01,1.28717951e-03,1.76082036e+03,3.23018445e+02,6.76634423e+01,4.59999831e-01,5.57877233e-01,7.02289225e-01,9.51481118e-01,2.60855936e+00,9.90595063e-01,3.78106092e+00,9.98692162e-01,5.17697682e+00
2.09059233e-03,4.79752863e+01,1.24904929e-03,1.70147931e+03,3.22989295e+02,6.88991613e+01,4.51917682e-01,5.52286220e-01,6.87880023e-01,9.52170513e-01,2.61891339e+00,9.90019558e-01,3.73892033e+00,9.98816307e-01,5.24741822e+00
2.32288037e-03,4.63737112e+01,1.20450663e-03,1.63145482e+03,3.11213160e+02,6.91937729e+01,4.41208042e-01,5.44910706e-01,6.68988477e-01,9.52838885e-01,2.62909152e+00,9.89861806e-01,3.72779095e+00,9.98962474e-01,5.34052035e+00
