# Bivariate results
# Nyquist frequency: 0.4
# Actual number of segments: 2
# Effective number of segments: 1.9971161642588102
# Segment start and end points: [[0, 90], [45, 136]]
# Segments detrended: True
# Trend type: linear
# Window applied: BlackmanHarris
# Segment-averaged -6dB main lobe half width: 0.005182187684504628
# Rayleigh resolution (1/2 best-case resolution limit): 0.0013889441380001558
# C2xy 5% FAP (analytical): 0.9504313379999085
# C2xy 1% FAP (analytical): 0.9901323065915728
# C2xy 0.1% FAP (analytical): 0.9990197801993829
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 95.33968009713107
# Sxx 1% FAP (bootstrap): 110.7305820154349
# Syy 5% FAP (bootstrap): 0.05281263248025398
# Syy 1% FAP (bootstrap): 0.0626682957731372
# Sxx 0.1% FAP (bootstrap): 135.90430417735263
# Syy 0.1% FAP (bootstrap): 0.07368803833012548
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
2.32288037e-04,5.16778307e+01,1.12014079e-01,1.66364199e+04,5.26627022e+02,5.17948333e+00,5.18066955e-01,5.98702905e-01,8.10155035e-01,9.84926070e-01,3.44596492e+00,9.97391618e-01,4.68902665e+00,9.99491097e-01,5.84367705e+00
4.64576074e-04,5.16734197e+01,1.10742361e-01,1.65384799e+04,1.02143709e+03,1.03543786e+01,5.20166880e-01,6.00201646e-01,8.14214431e-01,9.74454698e-01,3.06977731e+00,9.95251084e-01,4.26519259e+00,9.99401897e-01,5.72960819e+00
6.96864111e-04,5.16359300e+01,1.08652603e-01,1.63758367e+04,1.45420321e+03,1.55232871e+01,5.23581912e-01,6.02642430e-01,8.20842137e-01,9.65869406e-01,2.86211844e+00,9.93341628e-01,4.02588801e+00,9.99526178e-01,5.89412124e+00
9.29152149e-04,5.15234425e+01,1.05791770e-01,1.61497393e+04,1.79790187e+03,2.06913088e+01,5.28240009e-01,6.05978552e-01,8.29935198e-01,9.61394189e-01,2.77351345e+00,9.91655133e-01,3.86588137e+00,9.99161706e-01,5.49114460e+00
1.16144019e-03,5.12836023e+01,1.02229095e-01,1.58625072e+04,2.03032784e+03,2.58735933e+01,5.34136402e-01,6.10213037e-01,8.41535030e-01,9.57424399e-01,2.70297201e+00,9.91583819e-01,3.85984268e+00,9.99382671e-01,5.70726032e+00
1.39372822e-03,5.08593480e+01,9.80572622e-02,1.55177843e+04,2.13560207e+03,3.10992444e+01,5.41400480e-01,6.15447545e-01,8.55966977e-01,9.56705570e-01,2.69089305e+00,9.91304554e-01,3.83669467e+00,9.99131217e-01,5.46591596e+00
1.62601626e-03,5.01953949e+01,9.33913934e-02,1.51205197e+04,2.10539347e+03,3.64155147e+01,5.50347004e-01,6.21921779e-01,8.73964082e-01,9.55238000e-01,2.66682376e+00,9.90791690e-01,3.79604914e+00,9.99052732e-01,5.40481659e+00
1.85830430e-03,4.92448463e+01,8.83651011e-02,1.46765892e+04,1.93963437e+03,4.18917155e+01,5.61493978e-01,6.30031244e-01,8.96747292e-01,9.54724166e-01,2.65857858e+00,9.90923647e-01,3.80628802e+00,9.99301267e-01,5.61977317e+00
2.09059233e-03,4.79752863e+01,8.31235455e-02,1.41920768e+04,1.64653470e+03,4.76205614e+01,5.75528550e-01,6.40310300e-01,9.26033328e-01,9.54560752e-01,2.65597613e+00,9.90790608e-01,3.79596548e+00,9.99049769e-01,5.40262601e+00
2.32288037e-03,4.63737112e+01,7.78142025e-02,1.36723604e+04,1.24178893e+03,5.37104786e+01,5.93203998e-01,6.53367718e-01,9.63942538e-01,9.53877396e-01,2.64518930e+00,9.91198713e-01,3.82811421e+00,9.99432681e-01,5.76692951e+00
2.55516841e-03,4.44498263e+01,7.25766805e-02,1.31212430e+04,7.47004870e+02,6.02531686e+01,6.15157059e-01,6.69763778e-01,1.01277664e+00,9.52628171e-01,2.62586768e+00,9.91846919e-01,3.88236111e+00,9.99389191e-01,5.71475975e+00
2.78745645e-03,4.22372829e+01,6.75331990e-02,1.25403870e+04,1.87529013e+02,6.72366605e+01,6.41651891e-01,6.89825472e-01,1.07463067e+00,9.51926855e-01,2.61523733e+00,9.91060410e-01,3.81705603e+00,9.99017036e-01,5.37868000e+00
3.01974448e-03,3.97926081e+01,6.27812220e-02,1.19292626e+04,-4.10027481e+02,7.43736123e+01,6.72288337e-01,7.13413536e-01,1.15078965e+00,9.51054291e-01,2.60222052e+00,9.90572822e-01,3.77938573e+00,9.98726453e-01,5.19570951e+00
3.25203252e-03,3.71917127e+01,5.83892332e-02,1.12856898e+04,-1.02019813e+03,8.08909136e+01,7.05750913e-01,7.39682453e-01,1.24082978e+00,9.51692344e-01,2.61171642e+00,9.90438793e-01,3.76936966e+00,9.98408664e-01,5.03832579e+00
3.48432056e-03,3.45241161e+01,5.43959247e-02,1.06069025e+04,-1.62065274e+03,8.55262367e+01,7.39704503e-01,7.66909355e-01,1.34131928e+00,9.51447616e-01,2.60805986e+00,9.89255532e-01,3.68656544e+00,9.99305785e-01,5.62435185e+00
3.71660859e-03,3.18853533e+01,5.08123865e-02,9.89092183e+03,-2.19350789e+03,8.70607632e+01,7.70935832e-01,7.92495896e-01,1.44413125e+00,9.52425061e-01,2.62277324e+00,9.90063050e-01,3.74201936e+00,9.99230379e-01,5.55151626e+00
3.94889663e-03,2.93684370e+01,4.76263532e-02,9.13795135e+03,-2.72583847e+03,8.52469976e+01,7.95786420e-01,8.13249479e-01,1.53505449e+00,9.49267901e-01,2.57626259e+00,9.91206306e-01,3.82873330e+00,9.98829651e-01,5.25541499e+00
4.18118467e-03,2.70555266e+01,4.48074002e-02,8.35149319e+03,-3.20943530e+03,8.12425700e+01,8.10835164e-01,8.25995762e-01,1.59499610e+00,9.50109106e-01,2.58837323e+00,9.91699788e-01,3.86968044e+00,9.99186875e-01,5.51267615e+00
4.41347271e-03,2.50111370e+01,4.23120973e-02,7.53896875e+03,-3.63999686e+03,7.68246881e+01,8.13710052e-01,8.28446588e-01,1.60692953e+00,9.49812632e-01,2.58408254e+00,9.90812192e-01,3.79763054e+00,9.98997946e-01,5.36509173e+00
4.64576074e-03,2.32779668e+01,4.00884861e-02,6.71172485e+03,-4.01602963e+03,7.32098614e+01,8.03852935e-01,8.20064672e-01,1.56667555e+00,9.52025994e-01,2.61673092e+00,9.90387885e-01,3.76560179e+00,9.99319429e-01,5.63837435e+00
4.87804878e-03,2.18759697e+01,3.80796856e-02,5.88444181e+03,-4.33774075e+03,7.07568479e+01,7.83003725e-01,8.02529232e-01,1.48714130e+00,9.53676196e-01,2.64204301e+00,9.91071636e-01,3.81794733e+00,9.99295004e-01,5.61347052e+00
5.11033682e-03,2.08045969e+01,3.62267893e-02,5.07405850e+03,-4.60614920e+03,6.93480361e+01,7.55113451e-01,7.79466154e-01,1.39063285e+00,9.51592936e-01,2.61022896e+00,9.91028453e-01,3.81452555e+00,9.99212395e-01,5.53520085e+00
5.34262485e-03,2.00474859e+01,3.44714076e-02,4.29839759e+03,-4.82253561e+03,6.87434620e+01,7.25481148e-01,7.55431267e-01,1.29795727e+00,9.52435406e-01,2.62293052e+00,9.90476050e-01,3.77213940e+00,9.99217646e-01,5.53992530e+00
5.57491289e-03,1.95784371e+01,3.27582013e-02,3.57469835e+03,-4.98823344e+03,6.87294062e+01,6.99278575e-01,7.34558928e-01,1.22278268e+00,9.51771418e-01,2.61290177e+00,9.89971581e-01,3.73551720e+00,9.99261545e-01,5.58071565e+00
5.80720093e-03,1.93674306e+01,3.10375961e-02,2.91824709e+03,-5.10467681e+03,6.91502855e+01,6.80083799e-01,7.19484957e-01,1.17107253e+00,9.50096305e-01,2.58818746e+00,9.89097248e-01,3.67618400e+00,9.98789173e-01,5.23139982e+00
