# Bivariate results
# Nyquist frequency: 0.4
# Actual number of segments: 2
# Effective number of segments: 1.9971161642588102
# Segment start and end points: [[0, 90], [45, 136]]
# Segments detrended: True
# Trend type: linear
# Window applied: BlackmanHarris
# Segment-averaged -6dB main lobe half width: 0.005182187684504628
# Rayleigh resolution (1/2 best-case resolution limit): 0.0013889441380001558
# C2xy 5% FAP (analytical): 0.9504313379999085
# C2xy 1% FAP (analytical): 0.9901323065915728
# C2xy 0.1% FAP (analytical): 0.9990197801993829
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 0.00028758695032272356
# Sxx 1% FAP (bootstrap): 0.0003454909088306472
# Syy 5% FAP (bootstrap): 4.996748431866711e-06
# Syy 1% FAP (bootstrap): 5.878921391016708e-06
# Sxx 0.1% FAP (bootstrap): 0.00044383159922664633
# Syy 0.1% FAP (bootstrap): 7.3645021447462704e-06
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
2.32288037e-04,4.27639007e-04,1.06317883e-05,6.41226431e-01,-7.81128328e-03,8.37915043e+00,9.94131460e-01,9.94148604e-01,4.11532467e+00,9.82730637e-01,3.34917728e+00,9.97212440e-01,4.64205346e+00,9.99821339e-01,6.58291016e+00
4.64576074e-04,4.19910276e-04,1.05577789e-05,6.32617157e-01,-1.50918690e-02,1.63359206e+01,9.92741488e-01,9.92767679e-01,3.96474027e+00,9.71138000e-01,2.98239664e+00,9.94606289e-01,4.17506702e+00,9.99706704e-01,6.23286364e+00
6.96864111e-04,4.07356244e-04,1.04341536e-05,6.18483122e-01,-2.13279322e-02,2.36016956e+01,9.90301538e-01,9.90348184e-01,3.75925662e+00,9.63419575e-01,2.81229270e+00,9.93452010e-01,4.03773074e+00,9.99539303e-01,5.91396559e+00
9.29152149e-04,3.90463268e-04,1.02608423e-05,5.99159945e-01,-2.60421483e-02,3.01108443e+01,9.86621935e-01,9.86710369e-01,3.53083792e+00,9.59949270e-01,2.74704840e+00,9.92254531e-01,3.91872223e+00,9.99013291e-01,5.37599410e+00
1.16144019e-03,3.69898922e-04,1.00383463e-05,5.75136985e-01,-2.88175274e-02,3.59500964e+01,9.81429156e-01,9.81598704e-01,3.29741021e+00,9.57805018e-01,2.70944999e+00,9.91672990e-01,3.86739500e+00,9.99190612e-01,5.51593050e+00
1.39372822e-03,3.46489871e-04,9.76815182e-06,5.47061626e-01,-2.93246489e-02,4.12785407e+01,9.74361923e-01,9.74682865e-01,3.06718444e+00,9.56265698e-01,2.68359561e+00,9.91577315e-01,3.85929673e+00,9.99221176e-01,5.54312707e+00
1.62601626e-03,3.21185032e-04,9.45304916e-06,5.15728813e-01,-2.73490964e-02,4.62681716e+01,9.64974318e-01,9.65567957e-01,2.84351811e+00,9.55564767e-01,2.67211482e+00,9.91240075e-01,3.83145494e+00,9.99560846e-01,5.94778148e+00
1.85830430e-03,2.95003384e-04,9.09727627e-06,4.82051666e-01,-2.28143018e-02,5.10751351e+01,9.52756121e-01,9.53823782e-01,2.62782357e+00,9.54196714e-01,2.65020992e+00,9.92110153e-01,3.90562761e+00,9.99060415e-01,5.41056420e+00
2.09059233e-03,2.68969620e-04,8.70645090e-06,4.47014002e-01,-1.57946091e-02,5.58326153e+01,9.37186841e-01,9.39047149e-01,2.42104868e+00,9.52473058e-01,2.62350334e+00,9.91992407e-01,3.89512624e+00,9.99295364e-01,5.61382762e+00
2.32288037e-03,2.44044352e-04,8.28730150e-06,4.11610248e-01,-6.51470085e-03,6.06539264e+01,9.17845872e-01,9.20973013e-01,2.22442709e+00,9.51825678e-01,2.61371623e+00,9.90967352e-01,3.80971088e+00,9.98574077e-01,5.11586070e+00
2.55516841e-03,2.21057780e-04,7.84725493e-06,3.76781794e-01,4.66605250e-03,6.56376593e+01,8.94600683e-01,8.99643653e-01,2.03988886e+00,9.52463737e-01,2.62336154e+00,9.90500199e-01,3.77394104e+00,9.99192132e-01,5.51725693e+00
2.78745645e-03,2.00655890e-04,7.39396132e-06,3.43359761e-01,1.72826687e-02,7.08698736e+01,8.67875004e-01,8.75621215e-01,1.87028765e+00,9.52335665e-01,2.62141552e+00,9.91019012e-01,3.81377921e+00,9.98675636e-01,5.16806581e+00
3.01974448e-03,1.83266180e-04,6.93484022e-06,3.12022508e-01,3.08025818e-02,7.64207785e+01,8.38944725e-01,8.50183432e-01,1.71946141e+00,9.52543252e-01,2.62457231e+00,9.91046082e-01,3.81592230e+00,9.99167420e-01,5.49597630e+00
3.25203252e-03,1.69086280e-04,6.47671395e-06,2.83272463e-01,4.46665001e-02,8.23352134e+01,8.10123542e-01,8.25389899e-01,1.59206732e+00,9.52093073e-01,2.61774309e+00,9.90718163e-01,3.79040746e+00,9.98898166e-01,5.29805678e+00
3.48432056e-03,1.58094513e-04,6.02556219e-06,2.57432187e-01,5.83258838e-02,8.86186527e+01,7.84638588e-01,8.03894950e-01,1.49312826e+00,9.52314376e-01,2.62109237e+00,9.91396745e-01,3.84425341e+00,9.98819272e-01,5.24920146e+00
3.71660859e-03,1.50077815e-04,5.58640448e-06,2.34655748e-01,7.12723154e-02,9.52235959e+01,7.66063381e-01,7.88468479e-01,1.42732415e+00,9.53191849e-01,2.63452352e+00,9.91236323e-01,3.83115127e+00,9.98964347e-01,5.34179554e+00
3.94889663e-03,1.44670212e-04,5.16328727e-06,2.14948962e-01,8.30566792e-02,1.02044145e+02,7.57418528e-01,7.81355706e-01,1.39823734e+00,9.49688463e-01,2.58229274e+00,9.91228927e-01,3.83055311e+00,9.99484826e-01,5.83503166e+00
4.18118467e-03,1.41394836e-04,4.75934103e-06,1.98192022e-01,9.32988863e-02,1.08926107e+02,7.60318977e-01,7.83737483e-01,1.40789497e+00,9.49681952e-01,2.58219895e+00,9.91762682e-01,3.87508031e+00,9.99066667e-01,5.41528136e+00
4.41347271e-03,1.39703923e-04,4.37686811e-06,1.84159804e-01,1.01691226e-01,1.15693719e+02,7.74575088e-01,7.95512788e-01,1.45688878e+00,9.50716275e-01,2.59723877e+00,9.89578410e-01,3.70822406e+00,9.99169262e-01,5.49755296e+00
4.64576074e-03,1.39013832e-04,4.01742993e-06,1.72538050e-01,1.07999403e-01,1.22184271e+02,7.98380494e-01,8.15436864e-01,1.54510041e+00,9.50247291e-01,2.59038168e+00,9.89994083e-01,3.73711194e+00,9.99109530e-01,5.44850000e+00
4.87804878e-03,1.38734855e-04,3.68191791e-06,1.62936813e-01,1.12064811e-01,1.28276693e+02,8.28892780e-01,8.41475873e-01,1.67284283e+00,9.47739256e-01,2.55474729e+00,9.90804712e-01,3.79705263e+00,9.99279377e-01,5.59798190e+00
5.11033682e-03,1.38297590e-04,3.37060972e-06,1.54904654e-01,1.13809852e-01,1.33904264e+02,8.62891566e-01,8.71198462e-01,1.84225939e+00,9.47971537e-01,2.55797687e+00,9.89694308e-01,3.71616231e+00,9.98861750e-01,5.27507123e+00
5.34262485e-03,1.37178370e-04,3.08322740e-06,1.47947682e-01,1.13245741e-01,1.39051196e+02,8.97290315e-01,9.02090383e-01,2.05914269e+00,9.49659548e-01,2.58187655e+00,9.90132303e-01,3.74698263e+00,9.98998132e-01,5.36522283e+00
5.57491289e-03,1.34925493e-04,2.81901972e-06,1.41556220e-01,1.10480036e-01,1.43739600e+02,9.29429237e-01,9.31760888e-01,2.33599071e+00,9.50593851e-01,2.59544274e+00,9.89723421e-01,3.71816969e+00,9.97475760e-01,4.71221108e+00
5.80720093e-03,1.31186205e-04,2.57688896e-06,1.35239332e-01,1.05720076e-01,1.48014265e+02,9.57175415e-01,9.58056322e-01,2.69876499e+00,9.48208723e-01,2.56128958e+00,9.90297063e-01,3.75893058e+00,9.98688798e-01,5.17512443e+00
6.03948897e-03,1.25732235e-04,2.35556137e-06,1.28564112e-01,9.92686060e-02,1.51929805e+02,9.78889388e-01,9.79107942e-01,3.20599629e+00,9.47228629e-01,2.54769664e+00,9.90014799e-01,3.73858180e+00,9.98873592e-01,5.28245376e+00
6.27177700e-03,1.18479999e-04,2.15378476e-06,1.21194166e-01,9.15094644e-02,1.55541744e+02,9.93316678e-01,9.93338895e-01,4.02323828e+00,9.47843593e-01,2.55619619e+00,9.89249437e-01,3.68616328e+00,9.98774812e-01,5.22306252e+00
6.50406504e-03,1.09501111e-04,1.97051344e-06,1.12920444e-01,8.28834306e-02,1.58901135e+02,9.99456616e-01,9.99456764e-01,5.79737206e+00,9.47440599e-01,2.55061541e+00,9.89647482e-01,3.71294360e+00,9.99020981e-01,5.38152041e+00
6.73635308e-03,9.90196625e-05,1.80503948e-06,1.03678530e-01,7.38567379e-02,1.62051707e+02,9.96461484e-01,9.96467731e-01,4.47335715e+00,9.48606188e-01,2.56687275e+00,9.88960042e-01,3.66730430e+00,9.99183428e-01,5.50969235e+00
6.96864111e-03,8.73948944e-05,1.65703676e-06,9.35490300e-02,6.48864578e-02,1.65028554e+02,9.83631114e-01,9.83763123e-01,3.38730998e+00,9.49862718e-01,2.58480555e+00,9.89832327e-01,3.72573035e+00,9.99150219e-01,5.48152861e+00
7.20092915e-03,7.50905068e-05,1.52650729e-06,8.27412810e-02,5.63875746e-02,1.67857659e+02,9.60592760e-01,9.61341094e-01,2.75871690e+00,9.49425263e-01,2.57851327e+00,9.90076886e-01,3.74301082e+00,9.99379708e-01,5.70387843e+00
7.43321719e-03,6.26344669e-05,1.41364710e-06,7.15641484e-02,4.87059423e-02,1.70555962e+02,9.27790300e-01,9.30227889e-01,2.31918002e+00,9.48245276e-01,2.56180113e+00,9.90810468e-01,3.79749897e+00,9.98924717e-01,5.31528538e+00
7.66550523e-03,5.05746220e-05,1.31866928e-06,6.03898037e-02,4.20997366e-02,1.73131895e+02,8.87431529e-01,8.93148404e-01,1.99074759e+00,9.50040769e-01,2.58738210e+00,9.89692639e-01,3.71604658e+00,9.98766289e-01,5.21816180e+00
7.89779326e-03,3.94357343e-05,1.24163089e-06,4.96168853e-02,3.67300433e-02,1.75586496e+02,8.44991457e-01,8.55453401e-01,1.74879941e+00,9.52524687e-01,2.62429006e+00,9.90391495e-01,3.76586883e+00,9.98955992e-01,5.33611632e+00
8.13008130e-03,2.96824965e-05,1.18230502e-06,3.96381428e-02,3.26594490e-02,1.77915236e+02,8.11025833e-01,8.26158147e-01,1.59578250e+00,9.51773752e-01,2.61293679e+00,9.91119968e-01,3.82179709e+00,9.98348617e-01,5.01212894e+00
8.36236934e-03,2.16911926e-05,1.14012150e-06,3.08151274e-02,2.98564553e-02,-1.79889492e+02,8.01656519e-01,8.18205077e-01,1.55795260e+00,9.52340519e-01,2.62148903e+00,9.90845831e-01,3.80023344e+00,9.98568181e-01,5.11294173e+00
8.59465738e-03,1.57306469e-05,1.11418132e-06,2.34599342e-02,2.82034807e-02,-1.77835450e+02,8.31780386e-01,8.43970557e-01,1.68597439e+00,9.50946354e-01,2.60062677e+00,9.89949216e-01,3.73393617e+00,9.99106921e-01,5.44642721e+00
