# Bivariate results
# Nyquist frequency: 0.4
# Actual number of segments: 2
# Effective number of segments: 1.9971161642588102
# Segment start and end points: [[0, 90], [45, 136]]
# Segments detrended: True
# Trend type: linear
# Window applied: BlackmanHarris
# Segment-averaged -6dB main lobe half width: 0.005182187684504628
# Rayleigh resolution (1/2 best-case resolution limit): 0.0013889441380001558
# C2xy 5% FAP (analytical): 0.9504313379999085
# C2xy 1% FAP (analytical): 0.9901323065915728
# C2xy 0.1% FAP (analytical): 0.9990197801993829
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 0.05335284493748045
# Sxx 1% FAP (bootstrap): 0.06509229010011952
# Syy 5% FAP (bootstrap): 0.0006451952845173298
# Syy 1% FAP (bootstrap): 0.0007469846057455252
# Sxx 0.1% FAP (bootstrap): 0.08014666966493013
# Syy 0.1% FAP (bootstrap): 0.0008732268364640941
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
2.32288037e-04,1.12014079e-01,1.40413652e-03,1.18998558e+02,-1.96138184e+00,1.84394057e+00,9.98381291e-01,9.98382601e-01,5.02625099e+00,9.85597889e-01,3.47839410e+00,9.97524613e-01,4.72602584e+00,9.99716097e-01,6.25585783e+00
4.64576074e-04,1.10742361e-01,1.39974303e-03,1.18026995e+02,-3.81514795e+00,3.65848168e+00,9.97309976e-01,9.97313590e-01,4.66723599e+00,9.75182232e-01,3.09043881e+00,9.95030802e-01,4.23309920e+00,9.99562889e-01,5.95114455e+00
6.96864111e-04,1.08652603e-01,1.39210876e-03,1.16414576e+02,-5.45639941e+00,5.41458916e+00,9.95468599e-01,9.95478834e-01,4.29837397e+00,9.67213812e-01,2.89097650e+00,9.94245269e-01,4.12919501e+00,9.98943890e-01,5.32798622e+00
9.29152149e-04,1.05791770e-01,1.38079535e-03,1.14174134e+02,-6.78639213e+00,7.08359711e+00,9.92778016e-01,9.92803945e-01,3.96831552e+00,9.62149599e-01,2.78773850e+00,9.93448844e-01,4.03738883e+00,9.99484678e-01,5.83482431e+00
1.16144019e-03,1.02229095e-01,1.36524743e-03,1.11327954e+02,-7.71714383e+00,8.63679126e+00,9.89136737e-01,9.89195193e-01,3.67875936e+00,9.61635535e-01,2.77802814e+00,9.91712090e-01,3.87073358e+00,9.99308851e-01,5.62748546e+00
1.39372822e-03,9.80572622e-02,1.34484992e-03,1.07910458e+02,-8.17714349e+00,1.00449204e+01,9.84430376e-01,9.84549901e-01,3.42294144e+00,9.60534942e-01,2.75766087e+00,9.91526742e-01,3.85505022e+00,9.99283415e-01,5.60195269e+00
1.62601626e-03,9.33913934e-02,1.31899863e-03,1.03969850e+02,-8.11754481e+00,1.12781775e+01,9.78544165e-01,9.78769850e-01,3.19441982e+00,9.59327591e-01,2.73594862e+00,9.90257150e-01,3.75601661e+00,9.99321958e-01,5.64100284e+00
1.85830430e-03,8.83651011e-02,1.28717951e-03,9.95680996e+01,-7.51775753e+00,1.23070863e+01,9.71378868e-01,9.71777693e-01,2.98840020e+00,9.55053323e-01,2.66384951e+00,9.92131825e-01,3.90757746e+00,9.98858333e-01,5.27299334e+00
2.09059233e-03,8.31235455e-02,1.24904929e-03,9.47790830e+01,-6.38915470e+00,1.31044484e+01,9.62870415e-01,9.63536180e-01,2.80157389e+00,9.52494417e-01,2.62382842e+00,9.91096481e-01,3.81992359e+00,9.99192963e-01,5.51798514e+00
2.32288037e-03,7.78142025e-02,1.20450663e-03,8.96851170e+01,-4.77578539e+00,1.36482325e+01,9.53013219e-01,9.54069546e-01,2.63176949e+00,9.50289911e-01,2.59100226e+00,9.89343290e-01,3.69238770e+00,9.98833674e-01,5.25784699e+00
2.55516841e-03,7.25766805e-02,1.15374252e-03,8.43725254e+01,-2.75149283e+00,1.39250660e+01,9.41886434e-01,9.43485674e-01,2.47766869e+00,9.50032967e-01,2.58726889e+00,9.90173938e-01,3.74998212e+00,9.98314962e-01,4.99791145e+00
