# GJ 581 HARPS observations
# Velocities and errors from Forveille et al. (2011, arXiv:1109.2505F)
# Indicators from Robertson et al. (2014, Science, 345, 440)
# According to R14, NaD is dominated by night sky emission
BJD-2450000 Halpha eHalpha NaD eNaD RV eRV
3152.71289435 0.08064 0.00104 0.06131 0.00199 -10.25 1.10
3158.66345975 0.08080 0.00105 0.06627 0.00198 -19.05 1.30
3511.77334131 0.08054 0.00104 0.06923 0.00186 -7.25 1.20
3520.74474617 0.08033 0.00103 0.06699 0.00187 10.35 1.40
3573.51203908 0.07965 0.00110 0.06574 0.00209 0.65 1.30
3574.52232941 0.07983 0.00109 0.06622 0.00212 9.05 1.10
3575.48074894 0.07969 0.00104 0.06625 0.00190 4.35 1.00
3576.53604566 0.08035 0.00107 0.06552 0.00205 -7.15 1.00
3577.59260329 0.08076 0.00110 0.06500 0.00206 -10.85 1.20
3578.51071262 0.08113 0.00110 0.06370 0.00196 0.35 0.90
3578.62960203 0.08012 0.00108 0.06512 0.00198 2.25 1.10
3579.46255685 0.08028 0.00108 0.06542 0.00204 13.25 0.90
3579.62104900 0.07996 0.00110 0.06424 0.00209 14.75 1.10
3585.46177062 0.08093 0.00115 0.06587 0.00213 7.75 1.10
3586.46515860 0.08059 0.00111 0.06501 0.00200 -3.05 0.80
3587.46470413 0.08043 0.00107 0.06608 0.00225 -17.25 1.60
3588.53806182 0.08028 0.00118 0.06399 0.00250 -8.15 2.60
3589.46202396 0.08012 0.00109 0.06551 0.00202 6.05 0.80
3590.46389515 0.08080 0.00110 0.06395 0.00199 12.75 0.80
3591.46648375 0.08112 0.00110 0.06539 0.00206 7.75 0.80
3592.46481341 0.08119 0.00108 0.06565 0.00201 -5.25 0.80
3606.55167944 0.08037 0.00112 0.06543 0.00240 14.85 2.10
3607.50752689 0.07987 0.00111 0.06538 0.00197 11.55 1.00
3608.48264332 0.08049 0.00112 0.06696 0.00199 -3.75 1.20
3609.48845185 0.07942 0.00114 0.06465 0.00216 -11.35 1.60
3757.87731922 0.08183 0.00109 0.06323 0.00205 5.75 1.00
3760.87547540 0.08189 0.00108 0.06455 0.00212 -1.45 1.30
3761.85921591 0.08145 0.00108 0.06180 0.00211 7.45 1.40
3811.84694254 0.08018 0.00102 0.06611 0.00218 6.45 1.30
3813.82701666 0.07988 0.00105 0.06468 0.00197 -9.95 0.90
3830.83695707 0.07811 0.00102 0.06759 0.00191 -1.75 0.90
3862.70144100 0.07917 0.00105 0.06596 0.00200 -0.55 0.90
3864.71366151 0.08007 0.00105 0.06692 0.00201 13.85 1.10
3867.75217074 0.07962 0.00105 0.06653 0.00198 -9.25 1.10
3870.69660298 0.07954 0.00103 0.06641 0.00202 6.35 1.10
3882.65776272 0.08071 0.00104 0.06418 0.00201 -11.35 0.90
3887.69073769 0.08109 0.00105 0.06347 0.00207 -5.65 0.80
3918.62175058 0.08368 0.00103 0.06458 0.00207 7.75 1.10
3920.59494713 0.08384 0.00106 0.06280 0.00208 -18.45 1.00
3945.54312171 0.08001 0.00104 0.06621 0.00202 9.25 1.00
3951.48592717 0.08063 0.00109 0.06532 0.00201 6.55 0.80
3975.47159589 0.08170 0.00106 0.06446 0.00220 -7.35 1.00
3979.54397490 0.08115 0.00115 0.06458 0.00220 -7.35 1.30
4166.87418187 0.08226 0.00104 0.06321 0.00205 -12.85 1.10
4170.85396096 0.08282 0.00107 0.06199 0.00204 7.95 0.90
4194.87234931 0.08346 0.00106 0.06611 0.00191 -12.45 1.10
4196.75038397 0.08160 0.00103 0.06482 0.00213 16.35 1.20
4197.84503865 0.08155 0.00106 0.06330 0.00230 15.25 1.20
4198.85550900 0.08139 0.00103 0.06301 0.00221 -2.15 1.30
4199.73286924 0.08138 0.00103 0.06272 0.00207 -5.35 1.00
4200.91091462 0.08169 0.00101 0.06434 0.00228 -0.05 1.10
4201.86855390 0.08170 0.00105 0.06385 0.00216 9.35 1.00
4202.88259492 0.08150 0.00103 0.06233 0.00206 12.55 1.00
4228.74156134 0.08035 0.00101 0.06512 0.00191 8.55 1.10
4229.70047777 0.08017 0.00108 0.06406 0.00203 10.35 1.50
4230.76213594 0.08038 0.00103 0.06433 0.00196 -1.75 1.00
4234.64591609 0.08059 0.00105 0.06638 0.00186 14.65 1.20
4253.63316819 0.08075 0.00104 0.06581 0.00187 -9.35 1.00
4254.66480986 0.08029 0.00106 0.06650 0.00189 -4.35 1.00
4291.56884952 0.08327 0.00102 0.06255 0.00222 -6.85 1.40
4292.59081443 0.08250 0.00106 0.06281 0.00208 0.25 0.90
4293.62586765 0.08206 0.00105 0.06313 0.00213 9.85 1.00
4295.63944847 0.08274 0.00110 0.06216 0.00207 -10.35 1.10
4296.60611381 0.08282 0.00106 0.06367 0.00222 -19.65 1.30
4297.64193914 0.08281 0.00109 0.06110 0.00205 -8.25 1.00
4298.56759966 0.08275 0.00109 0.06334 0.00221 7.75 1.10
4299.62219505 0.08293 0.00111 0.06222 0.00230 10.95 1.60
4300.61910960 0.08277 0.00112 0.06149 0.00206 -0.95 1.00
4315.50749361 0.08206 0.00110 0.06344 0.00226 14.05 1.70
4317.48084703 0.08180 0.00105 0.06215 0.00208 -6.95 1.00
4319.49052713 0.08156 0.00111 0.05922 0.00228 2.95 1.40
4320.54407172 0.08156 0.00105 0.06228 0.00204 10.95 1.00
4323.50705017 0.08219 0.00112 0.05650 0.00304 -11.05 3.70
