#jdb (days)	RV (km/s)	RV error (km/s)	realistic RV error (km/s)	Bisector (km/s)	FWHM (km/s)	Photon noise (km/s)	log(R'hk)	log(R'hk) error	Low pass filter log(R'hk)	Alpha (hours)	Delta (degrees)	Seeing
#----------	---------	---------------	-------------------------	---------------	-----------	-------------------	---------	---------------	-------------------------	-------------	---------------	------
54524.907275	-22.314921	0.000546	0.001070	0.002387	6.255717	0.000071	-4.9920	0.0005	-4.9929	14.6588848639	-60.8344716842	0.84
54525.883318	-22.315721	0.000481	0.001038	0.002536	6.256078	0.000049	-4.9918	0.0003	-4.9930	14.6588843357	-60.8344727098	0.76
54526.883034	-22.314824	0.000471	0.001034	0.001458	6.253960	0.000050	-4.9935	0.0003	-4.9931	14.6588837876	-60.8344737239	0.65
54527.890455	-22.316663	0.000471	0.001034	0.002094	6.255564	0.000048	-4.9951	0.0003	-4.9932	14.6588832276	-60.8344747151	0.80
54528.875046	-22.316174	0.000493	0.001044	0.001881	6.256754	0.000061	-4.9958	0.0004	-4.9933	14.6588826890	-60.8344756204	0.81
54529.837791	-22.317542	0.000471	0.001034	0.002154	6.255267	0.000049	-4.9899	0.0003	-4.9934	14.6588821248	-60.8344765314	0.76
54530.831344	-22.317472	0.000471	0.001034	0.001363	6.257622	0.000053	-4.9907	0.0003	-4.9935	14.6588815519	-60.8344774080	0.69
54548.825069	-22.326784	0.000431	0.001016	-0.000102	6.253789	0.000038	-4.9979	0.0002	-4.9952	14.6588701053	-60.8344867415	1.24
54549.767064	-22.326399	0.000437	0.001019	0.000259	6.250754	0.000076	-5.0029	0.0006	-4.9953	14.6588694548	-60.8344868733	1.06
54550.811540	-22.328481	0.000431	0.001016	0.000171	6.253057	0.000050	-4.9993	0.0003	-4.9953	14.6588687302	-60.8344869707	1.35
54551.854873	-22.327793	0.000481	0.001038	0.000234	6.254113	0.000052	-4.9948	0.0003	-4.9953	14.6588680003	-60.8344870165	1.20
54552.844100	-22.328454	0.000461	0.001029	0.000710	6.254942	0.000051	-4.9943	0.0003	-4.9954	14.6588673036	-60.8344870222	1.40
54553.758462	-22.330143	0.000471	0.001034	-0.000005	6.252659	0.000044	-4.9933	0.0003	-4.9954	14.6588666550	-60.8344869879	0.79
54554.794026	-22.329679	0.000431	0.001016	0.000488	6.253031	0.000045	-4.9932	0.0003	-4.9954	14.6588659178	-60.8344869077	1.02
54555.808400	-22.331096	0.000431	0.001016	0.000255	6.252238	0.000039	-4.9914	0.0002	-4.9954	14.6588651897	-60.8344867816	1.05
54556.755621	-22.332216	0.000431	0.001016	0.000488	6.251928	0.000040	-4.9923	0.0002	-4.9953	14.6588645060	-60.8344866212	0.62
54557.761633	-22.331827	0.000437	0.001019	0.000336	6.253252	0.000051	-4.9945	0.0003	-4.9953	14.6588637757	-60.8344864092	1.04
54562.786353	-22.335638	0.000415	0.001009	0.000905	6.255178	0.000037	-4.9951	0.0002	-4.9951	14.6588600713	-60.8344846674	0.77
54563.750133	-22.337718	0.000427	0.001014	0.000583	6.246997	0.000035	-4.9927	0.0002	-4.9950	14.6588593490	-60.8344842033	0.56
54564.733008	-22.335853	0.000461	0.001029	0.000541	6.252828	0.000048	-4.9938	0.0003	-4.9949	14.6588586095	-60.8344836876	1.19
54565.827810	-22.335287	0.000454	0.001026	0.000378	6.250922	0.000043	-4.9944	0.0003	-4.9948	14.6588577852	-60.8344830631	0.76
54566.773294	-22.336784	0.000431	0.001016	0.001247	6.254576	0.000038	-4.9889	0.0002	-4.9947	14.6588570679	-60.8344824730	0.81
54567.804804	-22.335818	0.000431	0.001016	0.001164	6.252003	0.000041	-4.9919	0.0003	-4.9945	14.6588562837	-60.8344817911	0.62
54569.825407	-22.335837	0.000471	0.001034	0.000923	6.253207	0.000048	-4.9953	0.0003	-4.9942	14.6588547378	-60.8344803072	0.94
54570.720254	-22.339039	0.000405	0.001005	0.000969	6.250296	0.000043	-4.9917	0.0003	-4.9941	14.6588540514	-60.8344795967	1.23
54571.725564	-22.339002	0.000471	0.001034	0.000321	6.256678	0.000053	-5.0000	0.0003	-4.9939	14.6588532753	-60.8344787487	1.34
54610.717064	-22.356982	0.000421	0.001012	0.003129	6.261235	0.000055	-4.9746	0.0004	-4.9786	14.6588228054	-60.8344121481	0.92
54611.638635	-22.358421	0.000461	0.001029	0.003625	6.261264	0.000055	-4.9739	0.0003	-4.9784	14.6588221067	-60.8344098448	0.88
54612.612733	-22.356753	0.000461	0.001029	0.003184	6.258263	0.000069	-4.9771	0.0004	-4.9782	14.6588213733	-60.8344073811	1.06
54616.634985	-22.361747	0.000421	0.001012	0.000320	6.264174	0.000051	-4.9759	0.0003	-4.9777	14.6588183714	-60.8343968559	1.41
54617.620403	-22.360143	0.000437	0.001019	0.000437	6.267141	0.000039	-4.9698	0.0002	-4.9776	14.6588176449	-60.8343941974	0.90
54638.693918	-22.371282	0.000411	0.001008	0.000049	6.263205	0.000045	-4.9870	0.0003	-4.9802	14.6588031239	-60.8343309256	1.87
54639.637201	-22.369881	0.000415	0.001009	-0.000041	6.261298	0.000043	-4.9819	0.0003	-4.9803	14.6588025269	-60.8343278546	1.10
54640.623248	-22.369540	0.000421	0.001012	0.000732	6.263352	0.000041	-4.9823	0.0003	-4.9805	14.6588019084	-60.8343246231	1.31
54641.575449	-22.371942	0.000395	0.001001	0.001746	6.261589	0.000039	-4.9798	0.0002	-4.9807	14.6588013179	-60.8343215005	1.52
54642.598373	-22.370637	0.000395	0.001001	0.002048	6.260426	0.000036	-4.9774	0.0002	-4.9808	14.6588006880	-60.8343181143	1.35
54643.602860	-22.372973	0.000410	0.001007	0.002492	6.265828	0.000040	-4.9771	0.0002	-4.9810	14.6588000761	-60.8343147797	1.81
