# Standard, non-uniform FFT-based periodogram
# Chosen Nyquist frequency: 0.4
# Rayleigh resolution: 0.0008126409775662672
# Detrended: True
# Trend type: linear
# Number of bootstrap iterations: 1000
# 5% FAP (bootstrap): 1.758654797113846e-05
# 1% FAP (bootstrap): 2.065145615545422e-05
# Window applied: None
# frequency,power
1.35409614e-04,1.03876094e-09
2.70819228e-04,5.87380067e-08
4.06228842e-04,5.80816496e-07
5.41638456e-04,2.69539451e-06
6.77048070e-04,8.03042744e-06
8.12457684e-04,1.76353903e-05
9.47867299e-04,3.06539501e-05
1.08327691e-03,4.38588018e-05
1.21868653e-03,5.27390585e-05
1.35409614e-03,5.37220811e-05
1.48950575e-03,4.61784758e-05
1.62491537e-03,3.28777855e-05
1.76032498e-03,1.85679953e-05
1.89573460e-03,7.59642438e-06
2.03114421e-03,2.04882845e-06
2.16655383e-03,1.39399166e-06
2.30196344e-03,3.53299814e-06
2.43737305e-03,6.31512462e-06
2.57278267e-03,8.54670175e-06
2.70819228e-03,1.01441348e-05
2.84360190e-03,1.17481894e-05
2.97901151e-03,1.43011700e-05
3.11442112e-03,1.87841490e-05
3.24983074e-03,2.59466355e-05
3.38524035e-03,3.58431773e-05
3.52064997e-03,4.73231645e-05
3.65605958e-03,5.79233813e-05
3.79146919e-03,6.45161747e-05
3.92687881e-03,6.45717575e-05
4.06228842e-03,5.73902335e-05
4.19769804e-03,4.45755244e-05
4.33310765e-03,2.94544184e-05
4.46851726e-03,1.57689028e-05
4.60392688e-03,6.34197207e-06
4.73933649e-03,2.31921076e-06
4.87474611e-03,3.17593688e-06
5.01015572e-03,7.28974794e-06
5.14556534e-03,1.27327778e-05
5.28097495e-03,1.80003301e-05
5.41638456e-03,2.24914629e-05
5.55179418e-03,2.66007037e-05
5.68720379e-03,3.13392621e-05
5.82261341e-03,3.75830504e-05
5.95802302e-03,4.52992357e-05
6.09343263e-03,5.32236989e-05
6.22884225e-03,5.92638900e-05
6.36425186e-03,6.14486765e-05
6.49966148e-03,5.88569152e-05
6.63507109e-03,5.19566935e-05
6.77048070e-03,4.22104716e-05
6.90589032e-03,3.13233457e-05
7.04129993e-03,2.07061443e-05
7.17670955e-03,1.14384746e-05
7.31211916e-03,4.51423148e-06
7.44752877e-03,8.95031600e-07
7.58293839e-03,1.13031400e-06
7.71834800e-03,4.81554973e-06
7.85375762e-03,1.04613146e-05
7.98916723e-03,1.61056736e-05
8.12457684e-03,2.03744708e-05
