# Standard, non-uniform FFT-based periodogram
# Chosen Nyquist frequency: 0.2
# Rayleigh resolution: 0.0008126409775662672
# Detrended: True
# Trend type: quadratic
# Number of bootstrap iterations: 1000
# 5% FAP (bootstrap): 9.419334697509978e-06
# 1% FAP (bootstrap): 1.1578516469858627e-05
# Window applied: None
# frequency,power
1.35501355e-04,5.68638106e-10
2.71002710e-04,3.36239640e-08
4.06504065e-04,3.35361893e-07
5.42005420e-04,1.56128869e-06
6.77506775e-04,4.65929103e-06
8.13008130e-04,1.02433777e-05
9.48509485e-04,1.78206577e-05
1.08401084e-03,2.55172675e-05
1.21951220e-03,3.07065182e-05
1.35501355e-03,3.12996457e-05
1.49051491e-03,2.69160233e-05
1.62601626e-03,1.91568928e-05
1.76151762e-03,1.07872808e-05
1.89701897e-03,4.35347352e-06
2.03252033e-03,1.09253733e-06
2.16802168e-03,7.12241624e-07
2.30352304e-03,1.99132171e-06
2.43902439e-03,3.66140324e-06
2.57452575e-03,5.00416861e-06
2.71002710e-03,5.95352597e-06
2.84552846e-03,6.87819670e-06
2.98102981e-03,8.33285266e-06
3.11653117e-03,1.08969199e-05
3.25203252e-03,1.50119169e-05
3.38753388e-03,2.07141240e-05
3.52303523e-03,2.73442622e-05
3.65853659e-03,3.34871484e-05
3.79403794e-03,3.73410499e-05
3.92953930e-03,3.74381022e-05
4.06504065e-03,3.33520657e-05
4.20054201e-03,2.59796325e-05
4.33604336e-03,1.72217616e-05
4.47154472e-03,9.24368435e-06
4.60704607e-03,3.70603244e-06
4.74254743e-03,1.31167923e-06
4.87804878e-03,1.78693648e-06
5.01355014e-03,4.19674158e-06
5.14905149e-03,7.40414906e-06
5.28455285e-03,1.05076584e-05
5.42005420e-03,1.31369047e-05
5.55555556e-03,1.55130267e-05
5.69105691e-03,1.82245232e-05
5.82655827e-03,2.17834860e-05
5.96205962e-03,2.61757814e-05
6.09756098e-03,3.06800767e-05
6.23306233e-03,3.41061111e-05
6.36856369e-03,3.53392007e-05
6.50406504e-03,3.38618501e-05
6.63956640e-03,2.99353996e-05
6.77506775e-03,2.43722725e-05
6.91056911e-03,1.81205995e-05
7.04607046e-03,1.19794152e-05
7.18157182e-03,6.58941584e-06
7.31707317e-03,2.56258926e-06
7.45257453e-03,4.84626708e-07
7.58807588e-03,6.72626611e-07
7.72357724e-03,2.86304127e-06
7.85907859e-03,6.15978560e-06
7.99457995e-03,9.41477645e-06
8.13008130e-03,1.18480738e-05
8.26558266e-03,1.34566133e-05
8.40108401e-03,1.48629386e-05
8.53658537e-03,1.66753293e-05
8.67208672e-03,1.88396486e-05
8.80758808e-03,2.05113874e-05
8.94308943e-03,2.05939041e-05
9.07859079e-03,1.85632950e-05
9.21409214e-03,1.49531944e-05
9.34959350e-03,1.11145210e-05
9.48509485e-03,8.41334183e-06
9.62059621e-03,7.45311874e-06
9.75609756e-03,7.87200115e-06
9.89159892e-03,8.80736812e-06
1.00271003e-02,9.61176573e-06
1.01626016e-02,1.02492529e-05
1.02981030e-02,1.11059059e-05
1.04336043e-02,1.24455757e-05
1.05691057e-02,1.40193093e-05
1.07046070e-02,1.51776444e-05
1.08401084e-02,1.53881019e-05
1.09756098e-02,1.47062468e-05
1.11111111e-02,1.37800942e-05
1.12466125e-02,1.33521595e-05
1.13821138e-02,1.36409946e-05
1.15176152e-02,1.40947769e-05
1.16531165e-02,1.37295781e-05
1.17886179e-02,1.18226488e-05
1.19241192e-02,8.47214517e-06
1.20596206e-02,4.64484326e-06
1.21951220e-02,1.70552536e-06
1.23306233e-02,7.60712036e-07
1.24661247e-02,2.21675974e-06
1.26016260e-02,5.74110052e-06
1.27371274e-02,1.05253699e-05
1.28726287e-02,1.56053567e-05
1.30081301e-02,2.00653272e-05
1.31436314e-02,2.31296411e-05
1.32791328e-02,2.42480049e-05
1.34146341e-02,2.32340463e-05
1.35501355e-02,2.03911923e-05
1.36856369e-02,1.64935805e-05
1.38211382e-02,1.25564783e-05
1.39566396e-02,9.47620137e-06
1.40921409e-02,7.71853041e-06
1.42276423e-02,7.20707438e-06
1.43631436e-02,7.43779953e-06
1.44986450e-02,7.72781227e-06
1.46341463e-02,7.47589079e-06
1.47696477e-02,6.36111645e-06
1.49051491e-02,4.46035481e-06
1.50406504e-02,2.26948939e-06
1.51761518e-02,5.86877775e-07
1.53116531e-02,2.31082018e-07
1.54471545e-02,1.65609795e-06
1.55826558e-02,4.64327376e-06
1.57181572e-02,8.27830515e-06
1.58536585e-02,1.12953659e-05
1.59891599e-02,1.26444470e-05
1.61246612e-02,1.19695531e-05
1.62601626e-02,9.71570739e-06
1.63956640e-02,6.81273383e-06
1.65311653e-02,4.15760191e-06
1.66666667e-02,2.23383134e-06
1.68021680e-02,1.07830841e-06
1.69376694e-02,5.33432894e-07
1.70731707e-02,5.19251978e-07
1.72086721e-02,1.08327363e-06
1.73441734e-02,2.20851863e-06
1.74796748e-02,3.59259660e-06
1.76151762e-02,4.65363474e-06
1.77506775e-02,4.83045861e-06
1.78861789e-02,3.97779029e-06
1.80216802e-02,2.53801353e-06
1.81571816e-02,1.31197077e-06
1.82926829e-02,9.53235682e-07
1.84281843e-02,1.53683065e-06
1.85636856e-02,2.51843512e-06
1.86991870e-02,3.12052349e-06
1.88346883e-02,2.86867725e-06
1.89701897e-02,1.89467919e-06
1.91056911e-02,8.03594759e-07
1.92411924e-02,2.27502384e-07
1.93766938e-02,4.08313362e-07
1.95121951e-02,1.10456832e-06
1.96476965e-02,1.85232422e-06
1.97831978e-02,2.34323202e-06
1.99186992e-02,2.61796379e-06
2.00542005e-02,2.94569761e-06
2.01897019e-02,3.51892196e-06
2.03252033e-02,4.23011366e-06
2.04607046e-02,4.71480452e-06
2.05962060e-02,4.62465434e-06
2.07317073e-02,3.91489874e-06
2.08672087e-02,2.92540813e-06
2.10027100e-02,2.19205817e-06
2.11382114e-02,2.11514696e-06
2.12737127e-02,2.69969752e-06
2.14092141e-02,3.52636026e-06
2.15447154e-02,3.97123870e-06
2.16802168e-02,3.56334478e-06
2.18157182e-02,2.30732916e-06
2.19512195e-02,8.11140226e-07
2.20867209e-02,1.26211004e-07
2.22222222e-02,1.31981603e-06
2.23577236e-02,4.93561754e-06
2.24932249e-02,1.06016864e-05
2.26287263e-02,1.70306880e-05
2.27642276e-02,2.24808054e-05
2.28997290e-02,2.54782527e-05
2.30352304e-02,2.54153092e-05
2.31707317e-02,2.26898336e-05
2.33062331e-02,1.83424576e-05
2.34417344e-02,1.34809399e-05
2.35772358e-02,8.89880109e-06
2.37127371e-02,5.09055753e-06
2.38482385e-02,2.49759370e-06
2.39837398e-02,1.60426572e-06
2.41192412e-02,2.65450597e-06
2.42547425e-02,5.17436947e-06
2.43902439e-02,7.80279537e-06
2.45257453e-02,8.82129410e-06
2.46612466e-02,7.24262422e-06
2.47967480e-02,3.76290079e-06
2.49322493e-02,7.88639901e-07
2.50677507e-02,1.29011351e-06
2.52032520e-02,7.06746521e-06
2.53387534e-02,1.75219036e-05
2.54742547e-02,2.97738248e-05
2.56097561e-02,4.00941856e-05
2.57452575e-02,4.57375784e-05
2.58807588e-02,4.60323203e-05
2.60162602e-02,4.21606257e-05
2.61517615e-02,3.60000019e-05
2.62872629e-02,2.89839580e-05
2.64227642e-02,2.17590863e-05
2.65582656e-02,1.46653557e-05
2.66937669e-02,8.38202513e-06
2.68292683e-02,4.01026523e-06
2.69647696e-02,2.43039311e-06
2.71002710e-02,3.47448094e-06
2.72357724e-02,5.69455446e-06
2.73712737e-02,7.07671687e-06
2.75067751e-02,6.29874919e-06
2.76422764e-02,3.65957033e-06
2.77777778e-02,9.97343845e-07
2.79132791e-02,6.13482103e-07
2.80487805e-02,3.90092302e-06
2.81842818e-02,1.05458421e-05
2.83197832e-02,1.87457579e-05
2.84552846e-02,2.62107623e-05
2.85907859e-02,3.12699820e-05
2.87262873e-02,3.34512896e-05
2.88617886e-02,3.33252174e-05
2.89972900e-02,3.18665346e-05
2.91327913e-02,2.97989870e-05
2.92682927e-02,2.72870692e-05
2.94037940e-02,2.40661186e-05
2.95392954e-02,1.98500801e-05
2.96747967e-02,1.47390880e-05
2.98102981e-02,9.38027988e-06
2.99457995e-02,4.77425896e-06
