# Welch's spectral window
# Measured half main lobe width: 0.005353728489483733
# frequency power
-4.000000000000000222e-01 1.028614683124928764e-01
-3.996175908221797357e-01 1.053619681788237616e-01
-3.992351816443595047e-01 1.233343935344329845e-01
-3.988527724665392182e-01 1.495317658387379234e-01
-3.984703632887189317e-01 1.669891660000597244e-01
-3.980879541108987008e-01 1.629098587458705505e-01
-3.977055449330784143e-01 1.411241690748668010e-01
-3.973231357552581278e-01 1.206016840149467251e-01
-3.969407265774378968e-01 1.192460113405484912e-01
-3.965583173996176103e-01 1.371428357992844349e-01
-3.961759082217973238e-01 1.558062745679163752e-01
-3.957934990439770928e-01 1.550894278728099096e-01
-3.954110898661568063e-01 1.315091124546044488e-01
-3.950286806883365198e-01 1.001130759162874861e-01
-3.946462715105162888e-01 7.916117120245229344e-02
-3.942638623326960023e-01 7.425628988561028265e-02
-3.938814531548757158e-01 7.726696659353379792e-02
-3.934990439770554849e-01 7.806406980119209860e-02
-3.931166347992351984e-01 7.434294339245799133e-02
-3.927342256214149119e-01 7.021063130768491478e-02
-3.923518164435946809e-01 6.884271138874807627e-02
-3.919694072657743944e-01 6.967413957449958284e-02
-3.915869980879541079e-01 7.178951877995438935e-02
-3.912045889101338769e-01 7.621643507643979798e-02
-3.908221797323135904e-01 8.291052441905488735e-02
-3.904397705544933039e-01 8.763015068885282588e-02
-3.900573613766730730e-01 8.506724378308291867e-02
-3.896749521988527865e-01 7.533947838311055856e-02
-3.892925430210325555e-01 6.480657402445665072e-02
-3.889101338432122690e-01 5.899492104291988864e-02
-3.885277246653919825e-01 5.647361975032795522e-02
-3.881453154875716960e-01 5.199315125029065066e-02
-3.877629063097514650e-01 4.478153396603020558e-02
-3.873804971319311785e-01 4.051327977979875261e-02
-3.869980879541109475e-01 4.407529146576105034e-02
-3.866156787762906610e-01 5.348156676014181182e-02
-3.862332695984703745e-01 6.412180795797645105e-02
-3.858508604206501436e-01 7.737947148970664157e-02
-3.854684512428298571e-01 9.973087253808390895e-02
-3.850860420650095706e-01 1.309126564369512691e-01
-3.847036328871893396e-01 1.572570171842150311e-01
-3.843212237093690531e-01 1.633432263987541211e-01
-3.839388145315487666e-01 1.516093104282174864e-01
-3.835564053537285356e-01 1.450323443148707203e-01
-3.831739961759082491e-01 1.645997568695226065e-01
-3.827915869980879626e-01 2.042396040347590203e-01
-3.824091778202677316e-01 2.328455826248667648e-01
-3.820267686424474451e-01 2.242599123986840914e-01
-3.816443594646271587e-01 1.838609785785342565e-01
-3.812619502868069277e-01 1.432390569762525823e-01
-3.808795411089866412e-01 1.296158007559222725e-01
-3.804971319311663547e-01 1.430974718456531625e-01
-3.801147227533461237e-01 1.630743158331551812e-01
-3.797323135755258372e-01 1.717619787368791506e-01
-3.793499043977055507e-01 1.678440772401918191e-01
-3.789674952198853197e-01 1.601674995309170513e-01
-3.785850860420650332e-01 1.550982790518732335e-01
-3.782026768642447467e-01 1.529893240722892678e-01
-3.778202676864245158e-01 1.527361608616523425e-01
-3.774378585086042293e-01 1.539887003098738827e-01
-3.770554493307839428e-01 1.547118154126244649e-01
-3.766730401529637118e-01 1.513622212331758032e-01
-3.762906309751434253e-01 1.441142562947395900e-01
-3.759082217973231388e-01 1.388099142811871078e-01
-3.755258126195029078e-01 1.397297635194284793e-01
-3.751434034416826213e-01 1.418703604050793599e-01
-3.747609942638623348e-01 1.359330626628131033e-01
-3.743785850860421038e-01 1.229173505881532985e-01
-3.739961759082218173e-01 1.184736826879929927e-01
-3.736137667304015308e-01 1.361846418956450533e-01
-3.732313575525812999e-01 1.669068711944949324e-01
-3.728489483747610134e-01 1.819259656325345198e-01
-3.724665391969407269e-01 1.621173202421061776e-01
-3.720841300191204959e-01 1.216605847475305119e-01
-3.717017208413002094e-01 9.653684062955307510e-02
-3.713193116634799229e-01 1.074610754724339701e-01
-3.709369024856596919e-01 1.380331203767123927e-01
-3.705544933078394054e-01 1.527328272996539837e-01
-3.701720841300191189e-01 1.339084894446258556e-01
-3.697896749521988879e-01 9.647486913580062551e-02
-3.694072657743786015e-01 6.735182130920835952e-02
-3.690248565965583150e-01 5.773056303538229295e-02
-3.686424474187380840e-01 6.020263528775537942e-02
-3.682600382409177975e-01 6.804363282104819444e-02
-3.678776290630975110e-01 8.681928550384834797e-02
-3.674952198852772800e-01 1.225388690952946835e-01
-3.671128107074569935e-01 1.647364071965310983e-01
-3.667304015296367625e-01 1.909737236334255184e-01
-3.663479923518164760e-01 1.907853177915068699e-01
-3.659655831739961895e-01 1.797916130058907769e-01
-3.655831739961759030e-01 1.846612645356102145e-01
-3.652007648183556721e-01 2.146822915676979415e-01
-3.648183556405353856e-01 2.520182735124900653e-01
-3.644359464627151546e-01 2.707036947505579993e-01
-3.640535372848948681e-01 2.619647975561248399e-01
-3.636711281070745816e-01 2.390266877795508005e-01
-3.632887189292542951e-01 2.201942451650813204e-01
-3.629063097514340641e-01 2.117175192834812592e-01
-3.625239005736137776e-01 2.071424545018205610e-01
-3.621414913957935466e-01 1.985987914864435211e-01
-3.617590822179732601e-01 1.850810056416528349e-01
-3.613766730401529736e-01 1.713825513591667737e-01
-3.609942638623327427e-01 1.630170448588767473e-01
-3.606118546845124562e-01 1.629272218518328375e-01
-3.602294455066921697e-01 1.698316545610520090e-01
-3.598470363288719387e-01 1.773309811067955710e-01
-3.594646271510516522e-01 1.766786921161485058e-01
-3.590822179732313657e-01 1.644130234641976440e-01
-3.586998087954111347e-01 1.481008338260676460e-01
-3.583173996175908482e-01 1.414729240586566905e-01
-3.579349904397705617e-01 1.510421809600356602e-01
-3.575525812619503307e-01 1.681341777598807097e-01
-3.571701720841300443e-01 1.765505860109299052e-01
-3.567877629063097578e-01 1.688289042731537515e-01
-3.564053537284895268e-01 1.536790343982913365e-01
-3.560229445506692403e-01 1.468323797158568866e-01
-3.556405353728489538e-01 1.557734490102465341e-01
-3.552581261950287228e-01 1.740778336227661593e-01
-3.548757170172084363e-01 1.888211587397320146e-01
-3.544933078393881498e-01 1.912109260421943624e-01
-3.541108986615679188e-01 1.809170859859961789e-01
-3.537284894837476323e-01 1.639781721283884441e-01
-3.533460803059273458e-01 1.488126407285460251e-01
-3.529636711281071149e-01 1.419148904021874102e-01
-3.525812619502868284e-01 1.433172834592798539e-01
-3.521988527724665419e-01 1.455840636374594876e-01
-3.518164435946463109e-01 1.404487095312560163e-01
-3.514340344168260244e-01 1.285595371934274422e-01
-3.510516252390057379e-01 1.204853160362665543e-01
-3.506692160611855069e-01 1.248981507678728342e-01
-3.502868068833652204e-01 1.368614793172535649e-01
-3.499043977055449339e-01 1.425842765615271401e-01
-3.495219885277247029e-01 1.377173031161372241e-01
-3.491395793499044164e-01 1.364335970224480887e-01
-3.487571701720841300e-01 1.563356205475865679e-01
-3.483747609942638990e-01 1.944326117052670444e-01
-3.479923518164436125e-01 2.244886219929742854e-01
-3.476099426386233260e-01 2.230068932879784860e-01
-3.472275334608030950e-01 1.952600756515111835e-01
-3.468451242829828085e-01 1.696737008679458925e-01
-3.464627151051625775e-01 1.657489079433415446e-01
-3.460803059273422910e-01 1.733417291408211325e-01
-3.456978967495220045e-01 1.678115121389922582e-01
-3.453154875717017180e-01 1.415322473702168016e-01
-3.449330783938814871e-01 1.125490250673843035e-01
-3.445506692160612006e-01 1.008218967838136887e-01
-3.441682600382409696e-01 1.036451747027547360e-01
-3.437858508604206831e-01 1.017419630489404259e-01
-3.434034416826003966e-01 8.685304763794222949e-02
-3.430210325047801101e-01 7.369229245697869746e-02
-3.426386233269598791e-01 8.032916651096949634e-02
-3.422562141491395926e-01 1.031533044222321810e-01
-3.418738049713193616e-01 1.198820489242024417e-01
-3.414913957934990751e-01 1.170078928796655510e-01
-3.411089866156787886e-01 1.058925216445829182e-01
-3.407265774378585022e-01 1.070940881353963647e-01
-3.403441682600382712e-01 1.246890070057335431e-01
-3.399617590822179847e-01 1.447281156294016324e-01
-3.395793499043977537e-01 1.581206735700181054e-01
-3.391969407265774672e-01 1.744794931751750822e-01
-3.388145315487571807e-01 2.066006795949153485e-01
-3.384321223709368942e-01 2.481295773968942853e-01
-3.380497131931166632e-01 2.796930348299009883e-01
-3.376673040152963767e-01 3.000909450434403603e-01
-3.372848948374761457e-01 3.392035432780559079e-01
-3.369024856596558593e-01 4.259510785651991482e-01
-3.365200764818355728e-01 5.436877622204531191e-01
-3.361376673040152863e-01 6.317016308977475569e-01
-3.357552581261950553e-01 6.436223520610879767e-01
-3.353728489483747688e-01 6.026769103869494826e-01
-3.349904397705545378e-01 5.870443449700679661e-01
-3.346080305927342513e-01 6.519596690220043067e-01
-3.342256214149139648e-01 7.682113454129665397e-01
-3.338432122370936783e-01 8.442328216799666052e-01
-3.334608030592734473e-01 8.118887162866965657e-01
-3.330783938814531608e-01 6.896912348139891957e-01
-3.326959847036329299e-01 5.626315379729129873e-01
-3.323135755258126434e-01 5.038613525953364869e-01
-3.319311663479923569e-01 5.167979354795823044e-01
-3.315487571701721259e-01 5.466088344000230581e-01
-3.311663479923518394e-01 5.382431376557749170e-01
-3.307839388145315529e-01 4.809749801017204063e-01
-3.304015296367113219e-01 4.052608060137866675e-01
-3.300191204588910354e-01 3.477730309350055005e-01
-3.296367112810707489e-01 3.225334872714606393e-01
-3.292543021032505179e-01 3.188612717313944467e-01
-3.288718929254302314e-01 3.184814357678547592e-01
-3.284894837476099450e-01 3.123340160807483445e-01
-3.281070745697897140e-01 3.047302392500143564e-01
-3.277246653919694275e-01 3.051560044993149590e-01
-3.273422562141491410e-01 3.163774479517726390e-01
-3.269598470363289100e-01 3.292944902882321556e-01
-3.265774378585086235e-01 3.297307080470836538e-01
-3.261950286806883925e-01 3.117540394603573461e-01
-3.258126195028681060e-01 2.845312698841813148e-01
-3.254302103250478195e-01 2.646682641078678677e-01
-3.250478011472275330e-01 2.609541763379174539e-01
-3.246653919694073021e-01 2.673953774100544245e-01
-3.242829827915870156e-01 2.716933472484303058e-01
-3.239005736137667846e-01 2.687906151700351631e-01
-3.235181644359464981e-01 2.636219580425164799e-01
-3.231357552581262116e-01 2.609452835814567995e-01
-3.227533460803059251e-01 2.564538551576625025e-01
-3.223709369024856941e-01 2.418023380137946654e-01
-3.219885277246654076e-01 2.182285124376580898e-01
-3.216061185468451766e-01 2.013002660302697089e-01
-3.212237093690248901e-01 2.084184277388330675e-01
-3.208413001912046036e-01 2.406760902655309120e-01
-3.204588910133843171e-01 2.781488013646538082e-01
-3.200764818355640862e-01 2.943422034367469409e-01
-3.196940726577437997e-01 2.767358943189078269e-01
-3.193116634799235687e-01 2.357956024790903993e-01
-3.189292543021032822e-01 1.966518010541464245e-01
-3.185468451242829957e-01 1.816969414776820058e-01
-3.181644359464627092e-01 1.965504886655161654e-01
-3.177820267686424782e-01 2.270836212640831853e-01
-3.173996175908221917e-01 2.485347218963622207e-01
-3.170172084130019607e-01 2.420577001666964767e-01
-3.166347992351816742e-01 2.089299545751490961e-01
-3.162523900573613878e-01 1.713830669633384651e-01
-3.158699808795411013e-01 1.568718682406659848e-01
-3.154875717017208703e-01 1.767744979087609858e-01
-3.151051625239005838e-01 2.178366115718807505e-01
-3.147227533460803528e-01 2.549215300664206540e-01
-3.143403441682600663e-01 2.738570701985438283e-01
-3.139579349904397798e-01 2.830963686589261230e-01
-3.135755258126194933e-01 3.037899894671641232e-01
-3.131931166347992623e-01 3.490096370093667688e-01
-3.128107074569789758e-01 4.125790269265018906e-01
-3.124282982791587449e-01 4.769516764477105819e-01
-3.120458891013384584e-01 5.303066255711370580e-01
-3.116634799235181719e-01 5.753868498259698816e-01
-3.112810707456978854e-01 6.228945900700050275e-01
-3.108986615678776544e-01 6.783302598509191039e-01
-3.105162523900573679e-01 7.366109901779644975e-01
-3.101338432122371369e-01 7.894088074933718335e-01
-3.097514340344168504e-01 8.363807148277395687e-01
-3.093690248565965639e-01 8.871494201086681519e-01
-3.089866156787763329e-01 9.502858113547149044e-01
-3.086042065009560464e-01 1.019793772951230304e+00
-3.082217973231357599e-01 1.074537830441551822e+00
-3.078393881453155290e-01 1.095087543166348709e+00
-3.074569789674952425e-01 1.084189796200946576e+00
-3.070745697896749560e-01 1.069621764066768899e+00
-3.066921606118547250e-01 1.082050212418534496e+00
-3.063097514340344385e-01 1.125399262123830679e+00
-3.059273422562141520e-01 1.168462582255166193e+00
-3.055449330783939210e-01 1.169407837748118073e+00
-3.051625239005736345e-01 1.113023087625545804e+00
-3.047801147227533480e-01 1.025637919401723330e+00
-3.043977055449331171e-01 9.521278641776058649e-01
-3.040152963671128306e-01 9.159535094482608164e-01
-3.036328871892925996e-01 9.002233018898366801e-01
-3.032504780114723131e-01 8.672354672660990138e-01
-3.028680688336520266e-01 7.962083744558303700e-01
-3.024856596558317401e-01 7.021310204561334034e-01
-3.021032504780115091e-01 6.191376778579458229e-01
-3.017208413001912226e-01 5.675207209525678920e-01
-3.013384321223709916e-01 5.379722121630371445e-01
-3.009560229445507051e-01 5.067825854851947254e-01
-3.005736137667304186e-01 4.636638940608209802e-01
-3.001912045889101321e-01 4.225306929075759999e-01
-2.998087954110899012e-01 4.050439810825868792e-01
-2.994263862332696147e-01 4.157171338467342547e-01
-2.990439770554493837e-01 4.360991362622780865e-01
-2.986615678776290972e-01 4.454119303380723038e-01
-2.982791586998088107e-01 4.464378524241305324e-01
-2.978967495219885242e-01 4.676204562157090239e-01
-2.975143403441682932e-01 5.347913798892947046e-01
-2.971319311663480067e-01 6.382151359172457683e-01
-2.967495219885277757e-01 7.303423372677277925e-01
-2.963671128107074892e-01 7.635467288328792179e-01
-2.959847036328872028e-01 7.368512266908379127e-01
-2.956022944550669163e-01 7.055639413707519569e-01
-2.952198852772466853e-01 7.372721070617562766e-01
-2.948374760994263988e-01 8.485265987860423076e-01
-2.944550669216061678e-01 9.805311652983613735e-01
-2.940726577437858813e-01 1.041861804916504264e+00
-2.936902485659655948e-01 9.853794025292396119e-01
-2.933078393881453083e-01 8.514891238044862698e-01
-2.929254302103250773e-01 7.365600727895462718e-01
-2.925430210325047908e-01 7.120382665095943420e-01
-2.921606118546845599e-01 7.653018357624096213e-01
-2.917782026768642734e-01 8.143801028638906203e-01
-2.913957934990439869e-01 7.819996167591075631e-01
-2.910133843212237004e-01 6.616271649892753182e-01
-2.906309751434034694e-01 5.177257569848747742e-01
-2.902485659655831829e-01 4.242193925199683746e-01
-2.898661567877629519e-01 4.007980807889410246e-01
-2.894837476099426654e-01 4.048596832630740883e-01
-2.891013384321223789e-01 3.814039877208949547e-01
-2.887189292543020924e-01 3.184185846934304842e-01
-2.883365200764818614e-01 2.536406635193239612e-01
-2.879541108986615749e-01 2.299849116909052638e-01
-2.875717017208413440e-01 2.490603946079286701e-01
-2.871892925430210575e-01 2.722538780875969899e-01
-2.868068833652007710e-01 2.670226094159087182e-01
-2.864244741873805400e-01 2.465522268330663236e-01
-2.860420650095602535e-01 2.569679193275351547e-01
-2.856596558317399670e-01 3.233131673042658472e-01
-2.852772466539197360e-01 4.132606023795191152e-01
-2.848948374760994495e-01 4.624937022444263746e-01
-2.845124282982791630e-01 4.402484085321192731e-01
-2.841300191204589320e-01 3.865235170773297924e-01
-2.837476099426386456e-01 3.771645169378080031e-01
