# Bivariate results
# Nyquist frequency: 0.4
# Actual number of segments: 3
# Effective number of segments: 3
# Segment start and end points: [[0, 185], [185, 305], [305, 459]]
# Segments detrended: True
# Trend type: linear
# Window applied: None
# Segment-averaged -6dB main lobe half width: 0.007665767542899817
# Rayleigh resolution (1/2 best-case resolution limit): 0.0019095697758963275
# C2xy 5% FAP (analytical): 0.7763932022500211
# C2xy 1% FAP (analytical): 0.9
# C2xy 0.1% FAP (analytical): 0.9683772233983162
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 0.0008497749231159054
# Sxx 1% FAP (bootstrap): 0.00098181975814973
# Syy 5% FAP (bootstrap): 4.4027681093865826e-05
# Syy 1% FAP (bootstrap): 5.082538646852757e-05
# Sxx 0.1% FAP (bootstrap): 0.001163982439614383
# Syy 0.1% FAP (bootstrap): 5.824157856000092e-05
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
3.82409178e-04,2.01911515e-07,2.73555846e-08,4.43922306e-03,2.51427621e-04,-1.69417794e+02,9.94568991e-01,9.94578788e-01,5.90605838e+00,9.99445743e-01,8.19075271e+00,9.99873585e-01,9.66902314e+00,9.99982793e-01,1.16633079e+01
7.64818356e-04,2.92001128e-06,3.68022085e-07,6.16557003e-02,6.57015016e-03,-1.58463999e+02,9.94095824e-01,9.94107398e-01,5.82228612e+00,9.99259870e-01,7.90146119e+00,9.99813530e-01,9.28029641e+00,9.99968264e-01,1.10511892e+01
1.14722753e-03,1.24659642e-05,1.39546285e-06,2.46905355e-01,3.48959599e-02,-1.46555143e+02,9.93210215e-01,9.93225513e-01,5.68208247e+00,9.98939729e-01,7.54184825e+00,9.99699469e-01,8.80295750e+00,9.99921690e-01,1.01479500e+01
1.52963671e-03,3.08811292e-05,2.95202928e-06,5.64140592e-01,8.43342442e-02,-1.32762769e+02,9.91724373e-01,9.91747077e-01,5.48344138e+00,9.98378609e-01,7.11680694e+00,9.99480412e-01,8.25536249e+00,9.99881229e-01,9.73140573e+00
1.91204589e-03,5.45591433e-05,4.36933141e-06,9.15000904e-01,1.07171560e-01,-1.15714741e+02,9.89242194e-01,9.89280496e-01,5.21987738e+00,9.97292255e-01,6.60343187e+00,9.99144490e-01,7.75653234e+00,9.99796751e-01,9.19412654e+00
2.29445507e-03,7.48351205e-05,5.16254932e-06,1.16953716e+00,3.92538621e-02,-9.28297516e+01,9.84816271e-01,9.84892352e-01,4.87305726e+00,9.95028363e-01,5.99466446e+00,9.98514294e-01,7.20426948e+00,9.99668113e-01,8.70369848e+00
2.67686424e-03,8.29503544e-05,5.49895692e-06,1.26036148e+00,-1.17305445e-01,-5.27725710e+01,9.75874656e-01,9.76065608e-01,4.40550356e+00,9.91252932e-01,5.42780075e+00,9.97217217e-01,6.57605906e+00,9.99307981e-01,7.96869996e+00
3.05927342e-03,7.69287767e-05,5.87036289e-06,1.22023958e+00,-2.56527732e-01,3.80839584e+01,9.56038613e-01,9.56664599e-01,3.79536491e+00,9.85845350e-01,4.94375680e+00,9.95376519e-01,6.06744023e+00,9.98699178e-01,7.33725857e+00
3.44168260e-03,6.56828170e-05,6.48399383e-06,1.16046567e+00,-2.50009782e-01,8.77319445e+01,9.17258470e-01,9.19422704e-01,3.14292991e+00,9.82080646e-01,4.70602142e+00,9.93687734e-01,5.75524667e+00,9.98621465e-01,7.27919281e+00
3.82409178e-03,6.57227563e-05,7.20621889e-06,1.22428788e+00,-8.65183209e-02,1.12667118e+02,8.79287757e-01,8.83789392e-01,2.74523858e+00,9.78745274e-01,4.53363926e+00,9.92298127e-01,5.55558050e+00,9.98353003e-01,7.10112541e+00
4.20650096e-03,9.00467923e-05,8.02100145e-06,1.51865031e+00,8.27070301e-02,1.34911117e+02,8.85870661e-01,8.89910557e-01,2.80481253e+00,9.74450350e-01,4.34742171e+00,9.91056759e-01,5.40552282e+00,9.97615353e-01,6.73067514e+00
4.58891013e-03,1.35997241e-04,9.17450010e-06,2.02213165e+00,6.72699020e-02,1.60116950e+02,9.09048092e-01,9.11650000e-01,3.04402914e+00,9.67870858e-01,4.11494425e+00,9.88459138e-01,5.14922140e+00,9.96681878e-01,6.39984423e+00
4.97131931e-03,1.82910706e-04,1.06483543e-05,2.53381411e+00,-1.76486917e-01,-1.75616059e+02,9.18275857e-01,9.20388520e-01,3.15583260e+00,9.58581749e-01,3.85625430e+00,9.85438382e-01,4.91520596e+00,9.94898809e-01,5.96887869e+00
5.35372849e-03,2.04867701e-04,1.17113401e-05,2.76310622e+00,-4.86126261e-01,-1.63557710e+02,9.08975280e-01,9.11581239e-01,3.04319075e+00,9.48137697e-01,3.62603699e+00,9.79812103e-01,4.58567459e+00,9.95087722e-01,6.00672109e+00
5.73613767e-03,1.90745600e-04,1.14175785e-05,2.55190796e+00,-6.31415803e-01,-1.77562869e+02,8.77096208e-01,8.81756701e-01,2.72607942e+00,9.36118983e-01,3.41141880e+00,9.77403282e-01,4.47173639e+00,9.92983420e-01,5.64911281e+00
6.11854685e-03,1.54884356e-04,9.71058894e-06,2.04800130e+00,-5.20704368e-01,1.29804928e+02,8.14789219e-01,8.24997808e-01,2.28223007e+00,9.28611220e-01,3.29641473e+00,9.73441600e-01,4.30818862e+00,9.93207640e-01,5.68170263e+00
