# Bivariate results
# Nyquist frequency: 0.2
# Actual number of segments: 3
# Effective number of segments: 3
# Segment start and end points: [[0, 185], [185, 305], [305, 459]]
# Segments detrended: True
# Trend type: quadratic
# Window applied: None
# Segment-averaged -6dB main lobe half width: 0.007665767542899817
# Rayleigh resolution (1/2 best-case resolution limit): 0.0019095697758963275
# C2xy 5% FAP (analytical): 0.7763932022500211
# C2xy 1% FAP (analytical): 0.9
# C2xy 0.1% FAP (analytical): 0.9683772233983162
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 0.000795372710277818
# Sxx 1% FAP (bootstrap): 0.0009245376728278692
# Syy 5% FAP (bootstrap): 4.1184408902617215e-05
# Syy 1% FAP (bootstrap): 4.774003585082617e-05
# Sxx 0.1% FAP (bootstrap): 0.00108825257526599
# Syy 0.1% FAP (bootstrap): 5.636762462506739e-05
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
3.20512821e-04,9.12525662e-10,3.58270137e-11,1.70358240e-05,-3.65280993e-07,1.54483230e+00,9.99999080e-01,9.99999080e-01,1.45919391e+01,9.99980818e-01,1.15546548e+01,9.99996451e-01,1.32419165e+01,9.99999443e-01,1.50932798e+01
6.41025641e-04,5.31073184e-08,2.08037263e-09,9.89652859e-04,-4.24923292e-05,3.16273201e+00,9.99998970e-01,9.99998970e-01,1.44790861e+01,9.99977531e-01,1.13965017e+01,9.99995106e-01,1.29206109e+01,9.99999191e-01,1.47201631e+01
9.61538462e-04,5.15070782e-07,2.00946432e-08,9.56756896e-03,-6.19001326e-04,4.92934449e+00,9.99998738e-01,9.99998738e-01,1.42762561e+01,9.99970890e-01,1.11375680e+01,9.99992911e-01,1.25501415e+01,9.99998789e-01,1.43173172e+01
1.28205128e-03,2.29777151e-06,8.90697801e-08,4.24737281e-02,-3.69041863e-03,6.95483692e+00,9.99998301e-01,9.99998301e-01,1.39784699e+01,9.99959485e-01,1.08069565e+01,9.99990239e-01,1.22302872e+01,9.99998050e-01,1.38407066e+01
1.60256410e-03,6.44675234e-06,2.47500773e-07,1.18328973e-01,-1.29929037e-02,9.40398562e+00,9.99997453e-01,9.99997453e-01,1.35736862e+01,9.99940616e-01,1.04245956e+01,9.99984869e-01,1.17919296e+01,9.99997231e-01,1.34901862e+01
1.92307692e-03,1.29792216e-05,4.91193760e-07,2.35842442e-01,-3.15973087e-02,1.25613237e+01,9.99995678e-01,9.99995678e-01,1.30450344e+01,9.99907087e-01,9.97694859e+00,9.99975576e-01,1.13130642e+01,9.99995372e-01,1.29765776e+01
2.24358974e-03,1.98940594e-05,7.36724790e-07,3.56228839e-01,-5.71527054e-02,1.69925264e+01,9.99991491e-01,9.99991491e-01,1.23675277e+01,9.99844391e-01,9.46123396e+00,9.99958858e-01,1.07916007e+01,9.99990417e-01,1.22486570e+01
2.56410256e-03,2.36056219e-05,8.44766363e-07,4.13320959e-01,-7.91446023e-02,2.40523982e+01,9.99979702e-01,9.99979703e-01,1.14981478e+01,9.99702471e-01,8.81299799e+00,9.99921577e-01,1.01464994e+01,9.99982705e-01,1.16582381e+01
2.88461538e-03,2.11437657e-05,7.13666341e-07,3.56488807e-01,-8.31896615e-02,3.79950169e+01,9.99935874e-01,9.99935876e-01,1.03477828e+01,9.99388586e-01,8.09257692e+00,9.99825405e-01,9.34610351e+00,9.99950227e-01,1.06011609e+01
3.20512821e-03,1.28761461e-05,3.87011652e-07,2.00891827e-01,-6.23246546e-02,7.71607359e+01,9.99661788e-01,9.99661826e-01,8.68481661e+00,9.98593744e-01,7.25926792e+00,9.99536837e-01,8.37034813e+00,9.99878905e-01,9.71202150e+00
3.52564103e-03,3.58975563e-06,8.34964179e-08,4.33410913e-02,-2.76663795e-02,1.67944667e+02,9.93187976e-01,9.93203374e-01,5.67880128e+00,9.96859342e-01,6.45489872e+00,9.99102982e-01,7.70913349e+00,9.99759556e-01,9.02604912e+00
3.84615385e-03,5.12351434e-07,9.52900463e-08,1.88428674e-02,-7.90790453e-03,-2.82987205e+01,9.62626008e-01,9.63080362e-01,3.96106361e+00,9.95426047e-01,6.07823522e+00,9.98718088e-01,7.35190820e+00,9.99659065e-01,8.67679674e+00
4.16666667e-03,8.96617247e-06,5.96579991e-07,2.15296147e-01,-3.34944894e-02,-7.49361712e+00,9.99337590e-01,9.99337736e-01,8.01244143e+00,9.95379709e-01,6.06813186e+00,9.98510046e-01,7.20141212e+00,9.99601531e-01,8.52082837e+00
4.48717949e-03,2.83236489e-05,1.48728733e-06,6.00882079e-01,-1.13674027e-01,4.06641521e+00,9.99619878e-01,9.99619926e-01,8.56797533e+00,9.95185377e-01,6.02683443e+00,9.98528025e-01,7.21356089e+00,9.99672986e-01,8.71849098e+00
4.80769231e-03,5.11873954e-05,2.39637931e-06,1.01938389e+00,-2.23119965e-01,1.49331759e+01,9.99560636e-01,9.99560701e-01,8.42311076e+00,9.94727899e-01,5.93583395e+00,9.98432188e-01,7.15043704e+00,9.99710453e-01,8.84019855e+00
5.12820513e-03,6.68429932e-05,2.87140737e-06,1.26756376e+00,-3.11034794e-01,2.88005907e+01,9.99334071e-01,9.99334219e-01,8.00714144e+00,9.93748373e-01,5.76493005e+00,9.97975553e-01,6.89459293e+00,9.99436592e-01,8.17437164e+00
5.44871795e-03,6.72198536e-05,2.64923629e-06,1.21260057e+00,-3.30401964e-01,5.10293391e+01,9.98731057e-01,9.98731594e-01,7.36208386e+00,9.91638116e-01,5.47302902e+00,9.97019987e-01,6.50748366e+00,9.99327527e-01,7.99735972e+00
5.76923077e-03,5.17909733e-05,1.83404913e-06,8.76619080e-01,-2.69142124e-01,9.28420203e+01,9.96796337e-01,9.96799751e-01,6.43500458e+00,9.87908472e-01,5.10233337e+00,9.95592277e-01,6.11533802e+00,9.98958383e-01,7.55960705e+00
6.08974359e-03,2.83360837e-05,8.58933129e-07,4.32964290e-01,-1.61101742e-01,1.79065487e+02,9.87245298e-01,9.87299069e-01,5.04860471e+00,9.82882074e-01,4.75218045e+00,9.93933364e-01,5.79506027e+00,9.98549156e-01,7.22803115e+00
6.41025641e-03,8.98553347e-06,2.46547288e-07,1.13979764e-01,-6.73577953e-02,-7.48969383e+01,8.86932550e-01,8.90900143e-01,2.81472326e+00,9.77821532e-01,4.49062937e+00,9.92930508e-01,5.64157285e+00,9.97604517e-01,6.72611992e+00
