# Bivariate results
# Nyquist frequency: 0.4
# Actual number of segments: 3
# Effective number of segments: 3
# Segment start and end points: [[0, 185], [185, 305], [305, 459]]
# Segments detrended: True
# Trend type: linear
# Window applied: None
# Segment-averaged -6dB main lobe half width: 0.007665767542899817
# Rayleigh resolution (1/2 best-case resolution limit): 0.0019095697758963275
# C2xy 5% FAP (analytical): 0.7763932022500211
# C2xy 1% FAP (analytical): 0.9
# C2xy 0.1% FAP (analytical): 0.9683772233983162
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 0.006895912311251728
# Sxx 1% FAP (bootstrap): 0.00794326479528185
# Syy 5% FAP (bootstrap): 4.4244987306551874e-05
# Syy 1% FAP (bootstrap): 5.0831194570024794e-05
# Sxx 0.1% FAP (bootstrap): 0.009847965040995232
# Syy 0.1% FAP (bootstrap): 6.0139401204620424e-05
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
3.82409178e-04,4.38815553e-06,2.73555846e-08,2.14639351e-02,-5.62974845e-06,-7.63579766e+00,9.99592976e-01,9.99593031e-01,8.49958159e+00,9.99448701e-01,8.19610559e+00,9.99873989e-01,9.67222288e+00,9.99974762e-01,1.12802869e+01
7.64818356e-04,5.91019691e-05,3.68022085e-07,2.88913136e-01,-5.06559791e-04,-1.59026456e+01,9.99522454e-01,9.99522530e-01,8.33975819e+00,9.99280311e-01,7.92947908e+00,9.99817823e-01,9.30358552e+00,9.99960241e-01,1.08257971e+01
1.14722753e-03,2.23850735e-04,1.39546285e-06,1.09478799e+00,-6.05700191e-03,-2.59375042e+01,9.99376179e-01,9.99376308e-01,8.07248188e+00,9.98958653e-01,7.55986687e+00,9.99715944e-01,8.85934404e+00,9.99929301e-01,1.02501931e+01
1.52963671e-03,4.69261127e-04,2.95202928e-06,2.30501484e+00,-2.74627878e-02,-4.06737712e+01,9.99093760e-01,9.99094034e-01,7.69890034e+00,9.98392740e-01,7.12556955e+00,9.99532128e-01,8.36023000e+00,9.99873965e-01,9.67203732e+00
1.91204589e-03,6.76391603e-04,4.36933141e-06,3.36550973e+00,-6.21747020e-02,-6.91937602e+01,9.98547910e-01,9.98548612e-01,7.22717192e+00,9.97259458e-01,6.59137575e+00,9.99164872e-01,7.78065490e+00,9.99736199e-01,8.93333252e+00
2.29445507e-03,7.58686207e-04,5.16254932e-06,3.87259268e+00,-5.99925956e-02,-1.22311255e+02,9.97500348e-01,9.97502427e-01,6.68350031e+00,9.95054360e-01,5.99992027e+00,9.98498412e-01,7.19362929e+00,9.99560266e-01,8.42226873e+00
2.67686424e-03,7.62929310e-04,5.49895692e-06,4.00424203e+00,6.20936238e-02,-1.62878727e+02,9.95658068e-01,9.95664334e-01,6.13040983e+00,9.91358553e-01,5.44000234e+00,9.97018834e-01,6.50709635e+00,9.99115000e-01,7.72262712e+00
3.05927342e-03,8.23786631e-04,5.87036289e-06,4.28240646e+00,3.18089699e-01,1.38329300e+01,9.93141880e-01,9.93157486e-01,5.67203412e+00,9.85870168e-01,4.94552453e+00,9.95356603e-01,6.06313182e+00,9.98561463e-01,7.23655836e+00
3.44168260e-03,1.02029005e-03,6.48399383e-06,4.98539653e+00,5.58295959e-01,-5.42953026e+00,9.90754029e-01,9.90782351e-01,5.37208087e+00,9.81215398e-01,4.65842835e+00,9.93870833e-01,5.78477439e+00,9.98746759e-01,7.37454799e+00
3.82409178e-03,1.29668404e-03,7.20621889e-06,5.93164450e+00,5.42647748e-01,-1.65844721e+01,9.88878041e-01,9.88918971e-01,5.18640455e+00,9.77880271e-01,4.49331104e+00,9.92486684e-01,5.58046200e+00,9.98138875e-01,6.97879081e+00
