# Bivariate results
# Nyquist frequency: 0.2
# Actual number of segments: 3
# Effective number of segments: 3
# Segment start and end points: [[0, 185], [185, 305], [305, 459]]
# Segments detrended: True
# Trend type: quadratic
# Window applied: None
# Segment-averaged -6dB main lobe half width: 0.007665767542899817
# Rayleigh resolution (1/2 best-case resolution limit): 0.0019095697758963275
# C2xy 5% FAP (analytical): 0.7763932022500211
# C2xy 1% FAP (analytical): 0.9
# C2xy 0.1% FAP (analytical): 0.9683772233983162
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 0.006444981160023579
# Sxx 1% FAP (bootstrap): 0.007503765410493221
# Syy 5% FAP (bootstrap): 4.077222535539021e-05
# Syy 1% FAP (bootstrap): 4.812491991927623e-05
# Sxx 0.1% FAP (bootstrap): 0.00885512878829467
# Syy 0.1% FAP (bootstrap): 5.637924856118923e-05
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
3.20512821e-04,6.11753870e-09,3.58270137e-11,4.81172920e-05,-1.81735934e-07,-1.72356315e+02,9.99975674e-01,9.99975674e-01,1.13171008e+01,9.99978841e-01,1.14565960e+01,9.99995545e-01,1.30145872e+01,9.99999250e-01,1.47963978e+01
6.41025641e-04,3.52082153e-07,2.08037263e-09,2.78158169e-03,-1.95504966e-05,-1.65099620e+02,9.99972755e-01,9.99972755e-01,1.12037611e+01,9.99973574e-01,1.12342814e+01,9.99993943e-01,1.27074527e+01,9.99999074e-01,1.45856882e+01
9.61538462e-04,3.35008815e-06,2.00946432e-08,2.66660228e-02,-2.47811821e-04,-1.58480765e+02,9.99967036e-01,9.99967036e-01,1.10132152e+01,9.99966674e-01,1.10023017e+01,9.99992520e-01,1.24964228e+01,9.99998670e-01,1.42231985e+01
1.28205128e-03,1.45272350e-05,8.90697801e-08,1.16907405e-01,-1.15349535e-03,-1.52651941e+02,9.99956705e-01,9.99956706e-01,1.07406027e+01,9.99954419e-01,1.06891536e+01,9.99989354e-01,1.21434341e+01,9.99998018e-01,1.38244984e+01
1.60256410e-03,3.91735509e-05,2.47500773e-07,3.20017702e-01,-2.48847676e-03,-1.47635653e+02,9.99937796e-01,9.99937797e-01,1.03782096e+01,9.99933432e-01,1.03103947e+01,9.99983611e-01,1.17120542e+01,9.99996649e-01,1.32993565e+01
1.92307692e-03,7.46842266e-05,4.91193760e-07,6.22493471e-01,-8.95977128e-04,-1.43367310e+02,9.99900973e-01,9.99900976e-01,9.91321199e+00,9.99895751e-01,9.86182638e+00,9.99973527e-01,1.12325157e+01,9.99994901e-01,1.28795672e+01
2.24358974e-03,1.06130332e-04,7.36724790e-07,9.08694045e-01,1.10034293e-02,-1.39722598e+02,9.99821452e-01,9.99821462e-01,9.32370957e+00,9.99824487e-01,9.34085668e+00,9.99954054e-01,1.06811760e+01,9.99989578e-01,1.21646917e+01
2.56410256e-03,1.12930345e-04,8.44766363e-07,1.00292519e+00,3.96198020e-02,-1.36490525e+02,9.99620691e-01,9.99620739e-01,8.57011575e+00,9.99674751e-01,8.72390314e+00,9.99918445e-01,1.01073351e+01,9.99980268e-01,1.15263964e+01
2.88461538e-03,8.55977623e-05,7.13666341e-07,7.98955529e-01,7.96826107e-02,-1.33100833e+02,9.98973890e-01,9.98974241e-01,7.57461458e+00,9.99330642e-01,8.00200361e+00,9.99820826e-01,9.32021163e+00,9.99954232e-01,1.06850584e+01
3.20512821e-03,4.02543532e-05,3.87011652e-07,3.90522552e-01,1.06734272e-01,-1.25453582e+02,9.95882278e-01,9.95887915e-01,6.18354150e+00,9.98409743e-01,7.13621123e+00,9.99493091e-01,8.28007212e+00,9.99879092e-01,9.71357046e+00
3.52564103e-03,1.61416394e-05,8.34964179e-08,8.21983382e-02,8.51600665e-02,2.39039278e+01,9.83820066e-01,9.83906401e-01,4.80900779e+00,9.96646209e-01,6.38913270e+00,9.99053509e-01,7.65542339e+00,9.99759531e-01,9.02595058e+00
3.84615385e-03,5.25075890e-05,9.52900463e-08,2.29092195e-01,-5.67684121e-03,3.37958310e+01,9.93527065e-01,9.93540971e-01,5.73003108e+00,9.95076797e-01,6.00447858e+00,9.98568197e-01,7.24125493e+00,9.99698385e-01,8.79935564e+00
4.16666667e-03,1.58537210e-04,5.96579991e-07,9.87044400e-01,-1.43075479e-01,2.26859999e+01,9.95564692e-01,9.95571230e-01,6.10908522e+00,9.94926608e-01,5.97435301e+00,9.98567761e-01,7.24094726e+00,9.99654673e-01,8.66400998e+00
4.48717949e-03,2.98936043e-04,1.48728733e-06,2.14789318e+00,-2.56816173e-01,-3.16558693e+01,9.96284096e-01,9.96288687e-01,6.28642077e+00,9.95023958e-01,5.99377666e+00,9.98637497e-01,7.29089770e+00,9.99646827e-01,8.64152305e+00
4.80769231e-03,4.09224723e-04,2.39637931e-06,3.20138453e+00,-2.63749941e-01,-8.34479261e+01,9.96006051e-01,9.96011354e-01,6.21412294e+00,9.94537439e-01,5.90024985e+00,9.98304167e-01,7.07188039e+00,9.99500744e-01,8.29528978e+00
5.12820513e-03,4.33691592e-04,2.87140737e-06,3.61534825e+00,-1.25620478e-01,-9.44514338e+01,9.94747127e-01,9.94756292e-01,5.93949740e+00,9.93179282e-01,5.67752160e+00,9.97865159e-01,6.84144251e+00,9.99393620e-01,8.10084838e+00
5.44871795e-03,3.61246686e-04,2.64923629e-06,3.16455912e+00,1.10395437e-01,-9.38211439e+01,9.91718287e-01,9.91741024e-01,5.48270319e+00,9.90397974e-01,5.33411607e+00,9.97147252e-01,6.55119232e+00,9.99227330e-01,7.85841936e+00
5.76923077e-03,2.34336229e-04,1.83404913e-06,2.08946805e+00,3.24508426e-01,-6.91490856e+01,9.84705054e-01,9.84782247e-01,4.86570314e+00,9.87131672e-01,5.03967850e+00,9.95634193e-01,6.12491700e+00,9.98816554e-01,7.43189384e+00
