# Bivariate results
# Nyquist frequency: 0.4
# Actual number of segments: 3
# Effective number of segments: 3
# Segment start and end points: [[0, 185], [185, 305], [305, 459]]
# Segments detrended: True
# Trend type: linear
# Window applied: None
# Segment-averaged -6dB main lobe half width: 0.007665767542899817
# Rayleigh resolution (1/2 best-case resolution limit): 0.0019095697758963275
# C2xy 5% FAP (analytical): 0.7763932022500211
# C2xy 1% FAP (analytical): 0.9
# C2xy 0.1% FAP (analytical): 0.9683772233983162
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 0.006956772004231808
# Sxx 1% FAP (bootstrap): 0.007989695196072302
# Syy 5% FAP (bootstrap): 0.0008435675124779285
# Syy 1% FAP (bootstrap): 0.0009742044233373381
# Sxx 0.1% FAP (bootstrap): 0.009340095572979946
# Syy 0.1% FAP (bootstrap): 0.0011574026154804852
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
3.82409178e-04,4.38815553e-06,2.01911515e-07,5.83045783e-02,-3.31291232e-03,1.65572610e+02,9.96664045e-01,9.96667746e-01,6.39447399e+00,9.99499156e-01,8.29211314e+00,9.99895900e-01,9.86325524e+00,9.99984996e-01,1.18003061e+01
7.64818356e-04,5.91019691e-05,2.92001128e-06,8.10220415e-01,-8.76311293e-02,1.50865509e+02,9.96453924e-01,9.96458105e-01,6.33328611e+00,9.99331427e-01,8.00317715e+00,9.99841032e-01,9.43987241e+00,9.99972654e-01,1.12001267e+01
1.14722753e-03,2.23850735e-04,1.24659642e-05,3.24174477e+00,-4.75444426e-01,1.35478055e+02,9.96097763e-01,9.96102826e-01,6.23739944e+00,9.99045983e-01,7.64749979e+00,9.99734540e-01,8.92706193e+00,9.99941944e-01,1.04472170e+01
1.52963671e-03,4.69261127e-04,3.08811292e-05,7.36946192e+00,-1.18771520e+00,1.18719372e+02,9.95602549e-01,9.95608977e-01,6.11767637e+00,9.98538422e-01,7.22065470e+00,9.99545233e-01,8.38864446e+00,9.99887187e-01,9.78287107e+00
1.91204589e-03,6.76391603e-04,5.45591433e-05,1.18012054e+01,-1.59408190e+00,9.92768798e+01,9.95002964e-01,9.95011260e-01,5.98955597e+00,9.97472838e-01,6.67254126e+00,9.99276419e-01,7.92408357e+00,9.99819875e-01,9.31491928e+00
2.29445507e-03,7.58686207e-04,7.48351205e-05,1.47478877e+01,-7.08295017e-01,7.47982403e+01,9.94205100e-01,9.94216251e-01,5.84102261e+00,9.95474105e-01,6.08882155e+00,9.98659013e-01,7.30682568e+00,9.99692138e-01,8.77885239e+00
2.67686424e-03,7.62929310e-04,8.29503544e-05,1.54754400e+01,1.69102501e+00,4.37825165e+01,9.91553763e-01,9.91577409e-01,5.46294933e+00,9.91427226e-01,5.44801551e+00,9.97254095e-01,6.58941795e+00,9.99463767e-01,8.22382060e+00
3.05927342e-03,8.23786631e-04,7.69287767e-05,1.48837732e+01,4.27220440e+00,3.66220615e+01,9.79566595e-01,9.79703905e-01,4.57346213e+00,9.87010406e-01,5.03023810e+00,9.95057797e-01,6.00061721e+00,9.99009028e-01,7.60947628e+00
3.44168260e-03,1.02029005e-03,6.56828170e-05,1.48807165e+01,4.92560992e+00,1.24306404e+02,9.48465456e-01,9.49321558e-01,3.63254506e+00,9.83092438e-01,4.76465177e+00,9.94341685e-01,5.86494559e+00,9.98436682e-01,7.15331133e+00
3.82409178e-03,1.29668404e-03,6.57227563e-05,1.71738409e+01,2.78103298e+00,1.06603423e+02,9.17480693e-01,9.19633611e-01,3.14573517e+00,9.80290147e-01,4.60987997e+00,9.94027494e-01,5.81074700e+00,9.98256062e-01,7.04388859e+00
