# Bivariate results
# Nyquist frequency: 0.2
# Actual number of segments: 3
# Effective number of segments: 3
# Segment start and end points: [[0, 185], [185, 305], [305, 459]]
# Segments detrended: True
# Trend type: quadratic
# Window applied: None
# Segment-averaged -6dB main lobe half width: 0.007665767542899817
# Rayleigh resolution (1/2 best-case resolution limit): 0.0019095697758963275
# C2xy 5% FAP (analytical): 0.7763932022500211
# C2xy 1% FAP (analytical): 0.9
# C2xy 0.1% FAP (analytical): 0.9683772233983162
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 0.006460131666939618
# Sxx 1% FAP (bootstrap): 0.007407734342314219
# Syy 5% FAP (bootstrap): 0.0007944223133089105
# Syy 1% FAP (bootstrap): 0.0009271373437077948
# Sxx 0.1% FAP (bootstrap): 0.00890899767800851
# Syy 0.1% FAP (bootstrap): 0.0010708793685723162
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
3.20512821e-04,6.11753870e-09,9.12525662e-10,2.23030507e-04,3.93937157e-06,-1.83898232e+00,9.99965434e-01,9.99965434e-01,1.09657720e+01,9.99980381e-01,1.15321632e+01,9.99996590e-01,1.32819398e+01,9.99999543e-01,1.52915072e+01
6.41025641e-04,3.52082153e-07,5.31073184e-08,1.29014900e-02,4.63109652e-04,-3.63195051e+00,9.99961725e-01,9.99961725e-01,1.08638339e+01,9.99975207e-01,1.12981038e+01,9.99994832e-01,1.28661216e+01,9.99999132e-01,1.46505780e+01
9.61538462e-04,3.35008815e-06,5.15070782e-07,1.23827070e-01,6.85617511e-03,-5.26281190e+00,9.99954458e-01,9.99954459e-01,1.06900092e+01,9.99967189e-01,1.10178785e+01,9.99992732e-01,1.25251547e+01,9.99998538e-01,1.41287164e+01
1.28205128e-03,1.45272350e-05,2.29777151e-06,5.43849563e-01,4.18493268e-02,-6.44778932e+00,9.99941449e-01,9.99941450e-01,1.04387260e+01,9.99954139e-01,1.06830235e+01,9.99988773e-01,1.20903054e+01,9.99997823e-01,1.37309422e+01
1.60256410e-03,3.91735509e-05,6.44675234e-06,1.49256465e+00,1.52141359e-01,-6.38746358e+00,9.99917874e-01,9.99917876e-01,1.01003650e+01,9.99935169e-01,1.03368488e+01,9.99983153e-01,1.16844672e+01,9.99996924e-01,1.33851266e+01
1.92307692e-03,7.46842266e-05,1.29792216e-05,2.91380548e+00,3.86073257e-01,-2.54195508e+00,9.99872344e-01,9.99872349e-01,9.65925110e+00,9.99898014e-01,9.88377134e+00,9.99973632e-01,1.12364788e+01,9.99994866e-01,1.28727412e+01
2.24358974e-03,1.06130332e-04,1.98940594e-05,4.27432900e+00,7.38840846e-01,1.47765571e+01,9.99774234e-01,9.99774251e-01,9.08904674e+00,9.99830170e-01,9.37377319e+00,9.99951286e-01,1.06226582e+01,9.99989892e-01,1.21954077e+01
2.56410256e-03,1.12930345e-04,2.36056219e-05,4.74666705e+00,1.10446909e+00,6.24867982e+01,9.99523635e-01,9.99523711e-01,8.34223526e+00,9.99686476e-01,8.76062425e+00,9.99908704e-01,9.99450859e+00,9.99983944e-01,1.17325760e+01
2.88461538e-03,8.55977623e-05,2.11437657e-05,3.79927766e+00,1.29488597e+00,8.96526109e+01,9.98680947e-01,9.98681526e-01,7.32332850e+00,9.99347596e-01,8.02766681e+00,9.99799236e-01,9.20642894e+00,9.99969697e-01,1.10973915e+01
3.20512821e-03,4.02543532e-05,1.28761461e-05,1.80785080e+00,1.15092026e+00,9.12550208e+01,9.94099705e-01,9.94111264e-01,5.82294554e+00,9.98465373e-01,7.17184737e+00,9.99554729e-01,8.40975298e+00,9.99910741e-01,1.00170731e+01
