# Bivariate results
# Nyquist frequency: 0.4
# Actual number of segments: 3
# Effective number of segments: 3
# Segment start and end points: [[0, 185], [185, 305], [305, 459]]
# Segments detrended: True
# Trend type: linear
# Window applied: None
# Segment-averaged -6dB main lobe half width: 0.007665767542899817
# Rayleigh resolution (1/2 best-case resolution limit): 0.0019095697758963275
# C2xy 5% FAP (analytical): 0.7763932022500211
# C2xy 1% FAP (analytical): 0.9
# C2xy 0.1% FAP (analytical): 0.9683772233983162
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 0.17204801436198353
# Sxx 1% FAP (bootstrap): 0.19802381570165234
# Syy 5% FAP (bootstrap): 4.418430025201899e-05
# Syy 1% FAP (bootstrap): 5.103410245087288e-05
# Sxx 0.1% FAP (bootstrap): 0.2348886361539738
# Syy 0.1% FAP (bootstrap): 5.8750823139899746e-05
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
3.82409178e-04,6.35810155e-09,2.73555846e-08,7.77892795e-04,1.96124803e-04,1.76385709e+02,9.95891533e-01,9.95897144e-01,6.18579607e+00,9.99479893e-01,8.25436393e+00,9.99896211e-01,9.86624406e+00,9.99989043e-01,1.21146551e+01
7.64818356e-04,1.11600562e-07,3.68022085e-07,1.11495116e-02,5.25596809e-03,1.72165845e+02,9.95643714e-01,9.95650022e-01,6.12710216e+00,9.99308452e-01,7.96937953e+00,9.99828745e-01,9.36542146e+00,9.99967392e-01,1.10241015e+01
1.14722753e-03,5.97623349e-07,1.39546285e-06,4.70583893e-02,2.94661605e-02,1.66536555e+02,9.94883347e-01,9.94892044e-01,5.96584037e+00,9.99029190e-01,7.63004192e+00,9.99722863e-01,8.88400583e+00,9.99935230e-01,1.03377772e+01
1.52963671e-03,1.80784595e-06,2.95202928e-06,1.15482379e-01,7.97338983e-02,1.58113455e+02,9.93166037e-01,9.93181534e-01,5.67557482e+00,9.98524717e-01,7.21131489e+00,9.99545595e-01,8.38944094e+00,9.99882326e-01,9.74068175e+00
1.91204589e-03,3.67724500e-06,4.36933141e-06,2.03425551e-01,1.33046769e-01,1.43865949e+02,9.89683693e-01,9.89718926e-01,5.26200507e+00,9.97378850e-01,6.63597795e+00,9.99175550e-01,7.79352917e+00,9.99801886e-01,9.21971759e+00
2.29445507e-03,5.37310052e-06,5.16254932e-06,2.80776168e-01,1.49963236e-01,1.15843301e+02,9.83028599e-01,9.83123537e-01,4.76085091e+00,9.94957333e-01,5.98044293e+00,9.98403033e-01,7.13199752e+00,9.99580356e-01,8.46905856e+00
2.67686424e-03,5.77894418e-06,5.49895692e-06,3.16026118e-01,1.21927958e-01,5.83551316e+01,9.71509992e-01,9.71775532e-01,4.23700158e+00,9.91165593e-01,5.41782153e+00,9.97084382e-01,6.52936188e+00,9.99188068e-01,7.80887962e+00
3.05927342e-03,4.74933432e-06,5.87036289e-06,2.99428542e-01,9.59909279e-02,-2.93806085e+01,9.53770035e-01,9.54461293e-01,3.74388795e+00,9.86227692e-01,4.97133260e+00,9.94960994e-01,5.98117122e+00,9.98932659e-01,7.53519951e+00
3.44168260e-03,3.87906979e-06,6.48399383e-06,2.61833457e-01,1.35325386e-01,-1.07324969e+02,9.27916760e-01,9.29570212e-01,3.28637374e+00,9.82364305e-01,4.72212052e+00,9.93603301e-01,5.74191686e+00,9.98169380e-01,6.99533203e+00
3.82409178e-03,5.54481924e-06,7.20621889e-06,2.68622273e-01,2.50003436e-01,-1.42097287e+02,9.04159797e-01,9.07040299e-01,2.98911388e+00,9.78827617e-01,4.53756223e+00,9.92433185e-01,5.57334002e+00,9.97835740e-01,6.82774261e+00
