# Bivariate results
# Nyquist frequency: 0.2
# Actual number of segments: 3
# Effective number of segments: 3
# Segment start and end points: [[0, 185], [185, 305], [305, 459]]
# Segments detrended: True
# Trend type: quadratic
# Window applied: None
# Segment-averaged -6dB main lobe half width: 0.007665767542899817
# Rayleigh resolution (1/2 best-case resolution limit): 0.0019095697758963275
# C2xy 5% FAP (analytical): 0.7763932022500211
# C2xy 1% FAP (analytical): 0.9
# C2xy 0.1% FAP (analytical): 0.9683772233983162
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 0.16020267288011053
# Sxx 1% FAP (bootstrap): 0.18512391374492582
# Syy 5% FAP (bootstrap): 4.095012722744369e-05
# Syy 1% FAP (bootstrap): 4.8201385863041377e-05
# Sxx 0.1% FAP (bootstrap): 0.215081175009088
# Syy 0.1% FAP (bootstrap): 5.8156558100631766e-05
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
3.20512821e-04,1.47104448e-10,3.58270137e-11,7.25341211e-06,1.72789554e-07,1.70838192e+02,9.99984787e-01,9.99984788e-01,1.17865285e+01,9.99980880e-01,1.15579118e+01,9.99996322e-01,1.32064235e+01,9.99999475e-01,1.51527605e+01
6.41025641e-04,8.44892710e-09,2.08037263e-09,4.18511155e-04,2.03189469e-05,1.61763863e+02,9.99982951e-01,9.99982951e-01,1.16725320e+01,9.99976123e-01,1.13357436e+01,9.99994898e-01,1.28789643e+01,9.99998999e-01,1.45076382e+01
9.61538462e-04,8.01138286e-08,2.00946432e-08,3.99864161e-03,3.01076399e-04,1.52734902e+02,9.99979464e-01,9.99979464e-01,1.14864782e+01,9.99969303e-01,1.10844661e+01,9.99992603e-01,1.25075882e+01,9.99998638e-01,1.41996096e+01
1.28205128e-03,3.45620993e-07,8.90697801e-08,1.74384839e-02,1.83891145e-03,1.43660973e+02,9.99973213e-01,9.99973213e-01,1.12207220e+01,9.99957041e-01,1.07483787e+01,9.99988970e-01,1.21080580e+01,9.99997662e-01,1.36593213e+01
1.60256410e-03,9.25358909e-07,2.47500773e-07,4.73590752e-02,6.68376201e-03,1.34245673e+02,9.99961850e-01,9.99961851e-01,1.08671253e+01,9.99937720e-01,1.03769894e+01,9.99983869e-01,1.17278810e+01,9.99996430e-01,1.32359587e+01
1.92307692e-03,1.74752498e-06,4.91193760e-07,9.10322326e-02,1.69262995e-02,1.23834290e+02,9.99939902e-01,9.99939903e-01,1.04126468e+01,9.99903252e-01,9.93649860e+00,9.99973042e-01,1.12143714e+01,9.99994182e-01,1.27476169e+01
2.24358974e-03,2.45393683e-06,7.36724790e-07,1.30452248e-01,3.22225071e-02,1.11011063e+02,9.99892937e-01,9.99892940e-01,9.83518248e+00,9.99836013e-01,9.40879159e+00,9.99950997e-01,1.06167519e+01,9.99990739e-01,1.22828866e+01
2.56410256e-03,2.57975014e-06,8.44766363e-07,1.39614439e-01,4.76526480e-02,9.27260140e+01,9.99775626e-01,9.99775643e-01,9.09523228e+00,9.99689275e-01,8.76959541e+00,9.99899217e-01,9.89563708e+00,9.99979374e-01,1.14820735e+01
2.88461538e-03,1.96483347e-06,7.13666341e-07,1.04881688e-01,5.47517504e-02,6.48672993e+01,9.99404494e-01,9.99404612e-01,8.11894824e+00,9.99377071e-01,8.07391401e+00,9.99790239e-01,9.16258709e+00,9.99949878e-01,1.05941667e+01
3.20512821e-03,1.07956577e-06,3.87011652e-07,4.43156633e-02,4.69047503e-02,3.62485648e+01,9.97765877e-01,9.97767538e-01,6.79593595e+00,9.98530190e-01,7.21503439e+00,9.99486132e-01,8.26643544e+00,9.99913508e-01,1.00485659e+01
3.52564103e-03,9.07850626e-07,8.34964179e-08,7.12057107e-03,2.64118019e-02,3.72758277e+01,9.88243343e-01,9.88289058e-01,5.13058714e+00,9.96767587e-01,6.42605620e+00,9.98960917e-01,7.56204455e+00,9.99725170e-01,8.89236929e+00
3.84615385e-03,2.33176657e-06,9.52900463e-08,4.62364049e-02,7.43652431e-03,7.90336363e+01,9.88110215e-01,9.88156967e-01,5.11926019e+00,9.95077744e-01,6.00467132e+00,9.98496242e-01,7.19218303e+00,9.99581285e-01,8.47125875e+00
4.16666667e-03,5.39816384e-06,5.96579991e-07,1.78758881e-01,1.02151432e-02,9.36455732e+01,9.96628886e-01,9.96632666e-01,6.38397224e+00,9.94958167e-01,5.98060861e+00,9.98441841e-01,7.15661799e+00,9.99740875e-01,8.95121984e+00
4.48717949e-03,9.04267996e-06,1.48728733e-06,3.62957046e-01,4.78739164e-02,8.99427983e+01,9.97716287e-01,9.97718023e-01,6.77395753e+00,9.94886170e-01,5.96639356e+00,9.98400119e-01,7.13017330e+00,9.99638804e-01,8.61905606e+00
4.80769231e-03,1.15843080e-05,2.39637931e-06,5.13469042e-01,1.14111597e-01,7.84481123e+01,9.97786048e-01,9.97787679e-01,6.80501566e+00,9.94454242e-01,5.88509247e+00,9.98262304e-01,7.04747343e+00,9.99494946e-01,8.28375390e+00
5.12820513e-03,1.17409880e-05,2.87140737e-06,5.50231713e-01,1.81893874e-01,6.05441295e+01,9.97312015e-01,9.97314419e-01,6.61076579e+00,9.93239179e-01,5.68637196e+00,9.97916488e-01,6.86580550e+00,9.99384118e-01,8.08529429e+00
5.44871795e-03,9.48648438e-06,2.64923629e-06,4.50471920e-01,2.17090507e-01,4.04143063e+01,9.96100153e-01,9.96105210e-01,6.23801341e+00,9.90682439e-01,5.36433234e+00,9.97195644e-01,6.56832535e+00,9.99215952e-01,7.84380888e+00
5.76923077e-03,6.13006094e-06,1.83404913e-06,2.67515285e-01,1.99997506e-01,2.93845748e+01,9.93432957e-01,9.93447270e-01,5.71554985e+00,9.86721982e-01,5.00813178e+00,9.95563887e-01,6.10890352e+00,9.99071041e-01,7.67413103e+00
6.08974359e-03,3.53389989e-06,8.58933129e-07,1.01358429e-01,1.40167714e-01,3.72689005e+01,9.86799466e-01,9.86857045e-01,5.01402306e+00,9.82374353e-01,4.72269552e+00,9.93306781e-01,5.69645585e+00,9.98517665e-01,7.20654286e+00
6.41025641e-03,2.99174949e-06,2.46547288e-07,3.92729501e-02,7.28114187e-02,5.73121541e+01,9.27228106e-01,9.28912579e-01,3.27650822e+00,9.78004803e-01,4.49901984e+00,9.91786669e-01,5.49102889e+00,9.97832119e-01,6.82606824e+00
6.73076923e-03,4.51687930e-06,3.15849675e-07,1.05553090e-01,3.74964617e-02,6.57331746e+01,8.75752053e-01,8.80511241e-01,2.71448581e+00,9.73019053e-01,4.29218923e+00,9.90550650e-01,5.35022084e+00,9.98056947e-01,6.93567793e+00
7.05128205e-03,6.97050747e-06,1.01402894e-06,2.52387454e-01,5.31213223e-02,5.68582943e+01,9.41090018e-01,9.42203497e-01,3.49499441e+00,9.70797178e-01,4.21192807e+00,9.89821434e-01,5.27551607e+00,9.97275579e-01,6.59732773e+00
7.37179487e-03,8.86349346e-06,1.96673374e-06,3.94545270e-01,1.06634424e-01,3.17314855e+01,9.58761723e-01,9.59313520e-01,3.86070090e+00,9.66872136e-01,4.08382507e+00,9.88051535e-01,5.11430821e+00,9.96994263e-01,6.49887554e+00
7.69230769e-03,9.23861160e-06,2.70013406e-06,4.61385161e-01,1.63276453e-01,4.97049614e+00,9.60840657e-01,9.61338885e-01,3.91348954e+00,9.61394328e-01,3.92801169e+00,9.86209965e-01,4.97003733e+00,9.96332437e-01,6.29953966e+00
8.01282051e-03,8.07526942e-06,2.89181078e-06,4.31634776e-01,1.90337925e-01,-6.22651123e+00,9.53353273e-01,9.54056863e-01,3.73470003e+00,9.52225884e-01,3.71024158e+00,9.84107151e-01,4.82705516e+00,9.96751471e-01,6.42107771e+00
8.33333333e-03,6.06872597e-06,2.51066117e-06,3.33091169e-01,1.76909777e-01,-1.75969515e+00,9.33241210e-01,9.34664135e-01,3.36586729e+00,9.43480831e-01,3.53765603e+00,9.81917248e-01,4.69686141e+00,9.94899177e-01,5.96894746e+00
8.65384615e-03,4.07209118e-06,1.79107735e-06,2.15638547e-01,1.36340522e-01,1.33477369e+01,8.89670917e-01,8.93454872e-01,2.84069041e+00,9.37292521e-01,3.43056594e+00,9.78517617e-01,4.52286996e+00,9.93022739e-01,5.65475152e+00
8.97435897e-03,2.63635563e-06,1.08537470e-06,1.21238850e-01,9.23010434e-02,1.77030736e+01,8.00618891e-01,8.12355687e-01,2.20066760e+00,9.28050381e-01,3.28829848e+00,9.72273736e-01,4.26456222e+00,9.92300015e-01,5.55583364e+00
9.29487179e-03,1.89547128e-06,6.89195300e-07,6.96473855e-02,6.15550915e-02,-4.15077214e+01,6.24076095e-01,6.62128482e-01,1.46330763e+00,9.19423967e-01,3.17057916e+00,9.70636375e-01,4.20635515e+00,9.91228353e-01,5.42498295e+00
9.61538462e-03,1.73315256e-06,7.22843294e-07,6.15414046e-02,4.68948737e-02,-8.02048620e+01,3.87707694e-01,4.78397438e-01,8.18198731e-01,9.13176480e-01,3.09264268e+00,9.69174048e-01,4.15701266e+00,9.90658979e-01,5.36180579e+00
9.93589744e-03,1.99594658e-06,1.10572542e-06,8.77912580e-02,4.29319157e-02,-8.80091448e+01,3.26164950e-01,4.33238004e-01,6.77061212e-01,9.09088417e-01,3.04449373e+00,9.69672207e-01,4.17355787e+00,9.89795034e-01,5.27292296e+00
1.02564103e-02,2.57700587e-06,1.61740616e-06,1.34412608e-01,4.58695310e-02,-9.07451193e+01,3.95909073e-01,4.84491930e-01,8.37576418e-01,9.02752595e-01,2.97379855e+00,9.65957421e-01,4.05612277e+00,9.90501093e-01,5.34496546e+00
1.05769231e-02,3.37407217e-06,2.01223391e-06,1.83000134e-01,5.64666894e-02,-9.06204165e+01,4.70559534e-01,5.40836557e-01,1.02157752e+00,8.91911907e-01,2.86239662e+00,9.58353066e-01,3.85063137e+00,9.88884866e-01,5.18703660e+00
1.08974359e-02,4.24004512e-06,2.14001813e-06,2.13739749e-01,7.41604079e-02,-8.37635740e+01,5.01589996e-01,5.64740325e-01,1.10285678e+00,8.85638232e-01,2.80265490e+00,9.52989943e-01,3.72675522e+00,9.85073184e-01,4.89025412e+00
1.12179487e-02,5.01124862e-06,2.01923206e-06,2.14709649e-01,9.05999954e-02,-8.14849373e+01,4.65965773e-01,5.37322573e-01,1.00980960e+00,8.77785285e-01,2.73206887e+00,9.51993803e-01,3.70527709e+00,9.87840580e-01,5.09670034e+00
1.15384615e-02,5.58505852e-06,1.82146560e-06,1.91409040e-01,9.21752388e-02,-9.89742166e+01,3.41190033e-01,4.44171724e-01,7.10877455e-01,8.74869883e-01,2.70694041e+00,9.45421823e-01,3.57360000e+00,9.84960276e-01,4.88271586e+00
1.18589744e-02,5.95493607e-06,1.76632171e-06,1.65793560e-01,7.18174149e-02,-1.16140670e+02,1.52353679e-01,3.10721817e-01,3.07098333e-01,8.74783242e-01,2.70620206e+00,9.43281485e-01,3.53403283e+00,9.85715983e-01,4.93459395e+00
1.21794872e-02,6.15739123e-06,1.98182116e-06,1.61220580e-01,3.94490868e-02,-1.35758025e+02,2.63269066e-02,2.26012471e-01,5.26659832e-02,8.68220483e-01,2.65161154e+00,9.48917492e-01,3.64158724e+00,9.82451349e-01,4.72711253e+00
1.25000000e-02,6.18505326e-06,2.41840225e-06,1.83130224e-01,1.92258258e-02,-1.59031008e+02,2.77297622e-02,2.26938031e-01,5.54737460e-02,8.55946565e-01,2.55596601e+00,9.44336102e-01,3.55334408e+00,9.83049945e-01,4.76212467e+00
1.28205128e-02,5.96475636e-06,2.87988009e-06,2.11962277e-01,3.26293433e-02,-1.78104795e+02,8.94705479e-02,2.68052788e-01,1.79420876e-01,8.52551063e-01,2.53083700e+00,9.42409650e-01,3.51832965e+00,9.81008446e-01,4.64736780e+00
1.31410256e-02,5.44019202e-06,3.15768718e-06,2.16716328e-01,8.01545024e-02,1.78116128e+02,1.52990358e-01,3.11158085e-01,3.08402079e-01,8.49225317e-01,2.50673581e+00,9.37331109e-01,3.43120144e+00,9.84087689e-01,4.82582144e+00
1.34615385e-02,4.68982118e-06,3.17780788e-06,1.80216497e-01,1.37770833e-01,-1.50758472e+02,2.02968561e-01,3.45680080e-01,4.11653458e-01,8.44415220e-01,2.47272676e+00,9.36163715e-01,3.41214209e+00,9.78071116e-01,4.50208592e+00
1.37820513e-02,3.95792763e-06,3.05504172e-06,1.15633715e-01,1.73130171e-01,-1.09744778e+02,2.21874990e-01,3.58884629e-01,4.51254642e-01,8.35607254e-01,2.41287230e+00,9.33957220e-01,3.37702090e+00,9.78243354e-01,4.51004618e+00
1.41025641e-02,3.53678050e-06,3.01456989e-06,5.93333887e-02,1.69641532e-01,-1.10438849e+02,1.41480428e-01,3.03284562e-01,2.84871843e-01,8.37661355e-01,2.42656459e+00,9.34232819e-01,3.38134512e+00,9.84078195e-01,4.82522748e+00
1.44230769e-02,3.56638274e-06,3.23918064e-06,4.42154912e-02,1.38909657e-01,-1.39843867e+02,0.00000000e+00,1.84167494e-01,0.00000000e+00,8.31833877e-01,2.38812056e+00,9.35396759e-01,3.39980305e+00,9.83965148e-01,4.81808845e+00
1.47435897e-02,3.90576399e-06,3.75450296e-06,7.44488569e-02,1.10989435e-01,-1.64497654e+02,0.00000000e+00,1.21941918e-01,0.00000000e+00,8.26299564e-01,2.35271493e+00,9.32555224e-01,3.35528923e+00,9.77780049e-01,4.48873988e+00
1.50641026e-02,4.19544557e-06,4.43096622e-06,1.22160273e-01,1.10246016e-01,-1.63424897e+02,0.00000000e+00,1.45823598e-01,0.00000000e+00,8.25358340e-01,2.34679539e+00,9.33157428e-01,3.36456977e+00,9.76316235e-01,4.42420015e+00
1.53846154e-02,4.09168424e-06,5.08851704e-06,1.48908394e-01,1.36605775e-01,-1.48109275e+02,0.00000000e+00,1.96352444e-01,0.00000000e+00,8.19885693e-01,2.31293729e+00,9.23850479e-01,3.22938514e+00,9.70595791e-01,4.20495346e+00
1.57051282e-02,3.51436328e-06,5.61533053e-06,1.34489091e-01,1.67235868e-01,-1.30456270e+02,3.78770876e-02,2.33644172e-01,7.57904340e-02,8.11786826e-01,2.26449369e+00,9.20850983e-01,3.18919132e+00,9.75312784e-01,4.38227365e+00
1.60256410e-02,2.72344896e-06,6.01400753e-06,9.00133643e-02,1.76384432e-01,-1.17970362e+02,4.70040091e-02,2.39692947e-01,9.40773432e-02,8.09334232e-01,2.25019225e+00,9.23250118e-01,3.22121998e+00,9.77137582e-01,4.45991161e+00
1.63461538e-02,2.15372921e-06,6.35936031e-06,4.58779399e-02,1.56261012e-01,-1.13912977e+02,0.00000000e+00,1.93867582e-01,0.00000000e+00,8.06114307e-01,2.23166428e+00,9.23272651e-01,3.22152584e+00,9.80444613e-01,4.61782693e+00
1.66666667e-02,2.11484298e-06,6.72468649e-06,2.62082704e-02,1.21958650e-01,-1.24849957e+02,0.00000000e+00,1.09541850e-01,0.00000000e+00,8.08748571e-01,2.24680163e+00,9.17814715e-01,3.14996538e+00,9.77565369e-01,4.47901741e+00
1.69871795e-02,2.57098849e-06,7.14578470e-06,3.16096979e-02,9.76698900e-02,-1.44804914e+02,0.00000000e+00,5.74289365e-02,0.00000000e+00,8.02870566e-01,2.21327492e+00,9.18339441e-01,3.15664434e+00,9.76444840e-01,4.42971313e+00
1.73076923e-02,3.16531946e-06,7.64044233e-06,4.33824374e-02,9.69188444e-02,-1.49040947e+02,0.00000000e+00,4.66756858e-02,0.00000000e+00,8.01260137e-01,2.20424503e+00,9.13854363e-01,3.10083533e+00,9.74814160e-01,4.36194804e+00
1.76282051e-02,3.47664131e-06,8.24110184e-06,4.31446669e-02,1.13094545e-01,-1.44256655e+02,0.00000000e+00,5.11971366e-02,0.00000000e+00,8.00842754e-01,2.20191597e+00,9.20174265e-01,3.18032530e+00,9.73926578e-01,4.32686390e+00
1.79487179e-02,3.32023806e-06,8.98924513e-06,2.92089582e-02,1.26348459e-01,-1.38429449e+02,0.00000000e+00,5.64101538e-02,0.00000000e+00,8.01366309e-01,2.20483840e+00,9.18645840e-01,3.16056297e+00,9.72898688e-01,4.28767705e+00
1.82692308e-02,2.86695184e-06,9.88827021e-06,1.55993548e-02,1.19042431e-01,-1.33744214e+02,0.00000000e+00,5.09044536e-02,0.00000000e+00,7.90409491e-01,2.14504400e+00,9.12247479e-01,3.08151590e+00,9.74160684e-01,4.33602878e+00
1.85897436e-02,2.49147469e-06,1.08657794e-05,1.62303204e-02,8.65928949e-02,-1.31818763e+02,0.00000000e+00,2.87039167e-02,0.00000000e+00,7.97731568e-01,2.18468525e+00,9.07252463e-01,3.02353788e+00,9.71158255e-01,4.22455714e+00
1.89102564e-02,2.47190566e-06,1.17980302e-05,3.00213132e-02,3.70018618e-02,-1.38632905e+02,0.00000000e+00,7.79404591e-03,0.00000000e+00,7.96233982e-01,2.17647516e+00,9.12555983e-01,3.08519707e+00,9.75343709e-01,4.38346681e+00
1.92307692e-02,2.78209590e-06,1.25922074e-05,4.09565921e-02,-1.70143905e-02,-1.58309555e+02,0.00000000e+00,5.62100642e-03,0.00000000e+00,8.01258879e-01,2.20423801e+00,9.22457237e-01,3.21053031e+00,9.75695545e-01,4.39801619e+00
1.95512821e-02,3.14476732e-06,1.32599486e-05,3.27203613e-02,-6.48209516e-02,-1.68199678e+02,0.00000000e+00,1.26582854e-02,0.00000000e+00,8.03202965e-01,2.21514690e+00,9.21637101e-01,3.19958222e+00,9.73706055e-01,4.31832977e+00
1.98717949e-02,3.29915963e-06,1.39118575e-05,4.18473217e-03,-9.95295193e-02,-1.68455334e+02,0.00000000e+00,2.16461740e-02,0.00000000e+00,8.00641080e-01,2.20079122e+00,9.12465107e-01,3.08411090e+00,9.68585595e-01,4.13780404e+00
2.01923077e-02,3.25475278e-06,1.46682509e-05,-2.82618258e-02,-1.17564997e-01,-1.67601651e+02,0.00000000e+00,3.06589626e-02,0.00000000e+00,7.95286383e-01,2.17130782e+00,9.11656611e-01,3.07449423e+00,9.73403738e-01,4.30674587e+00
2.05128205e-02,3.30797951e-06,1.55593556e-05,-4.31917573e-02,-1.20655279e-01,-1.68096380e+02,0.00000000e+00,3.19449878e-02,0.00000000e+00,7.90291703e-01,2.14441636e+00,9.07256326e-01,3.02358154e+00,9.74600704e-01,4.35340518e+00
