# Bivariate results
# Nyquist frequency: 0.4
# Actual number of segments: 3
# Effective number of segments: 3
# Segment start and end points: [[0, 185], [185, 305], [305, 459]]
# Segments detrended: True
# Trend type: linear
# Window applied: None
# Segment-averaged -6dB main lobe half width: 0.007665767542899817
# Rayleigh resolution (1/2 best-case resolution limit): 0.0019095697758963275
# C2xy 5% FAP (analytical): 0.7763932022500211
# C2xy 1% FAP (analytical): 0.9
# C2xy 0.1% FAP (analytical): 0.9683772233983162
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 0.17239811794994508
# Sxx 1% FAP (bootstrap): 0.1995892288987492
# Syy 5% FAP (bootstrap): 0.0008537168918021736
# Syy 1% FAP (bootstrap): 0.0009883817047230624
# Sxx 0.1% FAP (bootstrap): 0.23262645731509624
# Syy 0.1% FAP (bootstrap): 0.0011634362714049624
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
3.82409178e-04,6.35810155e-09,2.01911515e-07,2.13090373e-03,4.12050837e-04,-2.18388053e+01,9.81686256e-01,9.81796709e-01,4.68405157e+00,9.99499701e-01,8.29320182e+00,9.99894115e-01,9.84625119e+00,9.99979603e-01,1.14932602e+01
7.64818356e-04,1.11600562e-07,2.92001128e-06,3.26473272e-02,1.13781058e-02,-4.40921150e+01,9.81337436e-01,9.81452111e-01,4.66500777e+00,9.99334037e-01,8.00709055e+00,9.99834689e-01,9.40074518e+00,9.99961834e-01,1.08667077e+01
1.14722753e-03,5.97623349e-07,1.24659642e-05,1.50804423e-01,6.73858871e-02,-6.73917365e+01,9.79751593e-01,9.79886445e-01,4.58265052e+00,9.99023857e-01,7.62456004e+00,9.99714013e-01,8.85257019e+00,9.99931686e-01,1.02845066e+01
1.52963671e-03,1.80784595e-06,3.08811292e-05,4.04948948e-01,1.99264350e-01,-9.28320521e+01,9.76047502e-01,9.76235748e-01,4.41278129e+00,9.98408600e-01,7.13549257e+00,9.99544227e-01,8.38643482e+00,9.99904774e-01,9.95235701e+00
1.91204589e-03,3.67724500e-06,5.45591433e-05,7.62076185e-01,3.81958334e-01,-1.22317062e+02,9.68799216e-01,9.69117133e-01,4.14473586e+00,9.97361746e-01,6.62946511e+00,9.99108236e-01,7.71501001e+00,9.99842340e-01,9.44813500e+00
2.29445507e-03,5.37310052e-06,7.48351205e-05,1.07316344e+00,5.33179130e-01,-1.58802497e+02,9.54887235e-01,9.55545956e-01,3.76892255e+00,9.95216405e-01,6.03331622e+00,9.98518767e-01,7.20728681e+00,9.99620904e-01,8.57068044e+00
2.67686424e-03,5.77894418e-06,8.29503544e-05,1.14916265e+00,5.85874891e-01,1.55091569e+02,9.27016587e-01,9.28710645e-01,3.27349608e+00,9.91240934e-01,5.42642407e+00,9.97278259e-01,6.59826912e+00,9.99257764e-01,7.89862443e+00
3.05927342e-03,4.74933432e-06,7.69287767e-05,9.35397918e-01,5.65412113e-01,1.01134325e+02,8.69692323e-01,8.74908301e-01,2.66363076e+00,9.86330040e-01,4.97884338e+00,9.95576755e-01,6.11181482e+00,9.98691006e-01,7.33098915e+00
3.44168260e-03,3.87906979e-06,6.56828170e-05,6.38264590e-01,5.86008054e-01,4.11175985e+01,7.73538485e-01,7.88455508e-01,2.05815695e+00,9.82553843e-01,4.73302175e+00,9.94221610e-01,5.84388411e+00,9.98466868e-01,7.17282315e+00
3.82409178e-03,5.54481924e-06,6.57227563e-05,6.34000254e-01,7.61718638e-01,-2.89718253e+01,6.95227631e-01,7.21147250e-01,1.71600714e+00,9.79019079e-01,4.54674308e+00,9.92447055e-01,5.57518131e+00,9.98345628e-01,7.09665784e+00
