# Bivariate results
# Nyquist frequency: 0.2
# Actual number of segments: 3
# Effective number of segments: 3
# Segment start and end points: [[0, 185], [185, 305], [305, 459]]
# Segments detrended: True
# Trend type: quadratic
# Window applied: None
# Segment-averaged -6dB main lobe half width: 0.007665767542899817
# Rayleigh resolution (1/2 best-case resolution limit): 0.0019095697758963275
# C2xy 5% FAP (analytical): 0.7763932022500211
# C2xy 1% FAP (analytical): 0.9
# C2xy 0.1% FAP (analytical): 0.9683772233983162
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 0.1610406052944961
# Sxx 1% FAP (bootstrap): 0.18698152214005986
# Syy 5% FAP (bootstrap): 0.0007888521517563223
# Syy 1% FAP (bootstrap): 0.00092584367912826
# Sxx 0.1% FAP (bootstrap): 0.22518257087071789
# Syy 0.1% FAP (bootstrap): 0.0010881042197720928
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
3.20512821e-04,1.47104448e-10,9.12525662e-10,3.36007590e-05,1.52166769e-06,1.04462085e+00,9.99977764e-01,9.99977764e-01,1.14069374e+01,9.99979742e-01,1.15001052e+01,9.99996298e-01,1.31997455e+01,9.99999431e-01,1.50730083e+01
6.41025641e-04,8.44892710e-09,5.31073184e-08,1.93650455e-03,1.77534574e-04,2.14779188e+00,9.99975387e-01,9.99975388e-01,1.13053873e+01,9.99975740e-01,1.13198186e+01,9.99995217e-01,1.29435535e+01,9.99999147e-01,1.46680194e+01
9.61538462e-04,8.01138286e-08,5.15070782e-07,1.84666805e-02,2.59783914e-03,3.38360246e+00,9.99970814e-01,9.99970814e-01,1.11349372e+01,9.99968475e-01,1.10578625e+01,9.99993578e-01,1.26489607e+01,9.99998802e-01,1.43280247e+01
1.28205128e-03,3.45620993e-07,2.29777151e-06,8.03113282e-02,1.55896928e-02,4.84640068e+00,9.99962649e-01,9.99962650e-01,1.08882853e+01,9.99957065e-01,1.07489470e+01,9.99990153e-01,1.22214774e+01,9.99998468e-01,1.40819731e+01
1.60256410e-03,9.25358909e-07,6.44675234e-06,2.17275212e-01,5.53791663e-02,6.68113996e+00,9.99947875e-01,9.99947876e-01,1.05549877e+01,9.99937384e-01,1.03716046e+01,9.99984921e-01,1.17953588e+01,9.99997837e-01,1.37371988e+01
1.92307692e-03,1.74752498e-06,1.29792216e-05,4.15415688e-01,1.36290663e-01,9.13352826e+00,9.99919314e-01,9.99919316e-01,1.01180462e+01,9.99901430e-01,9.91784502e+00,9.99975488e-01,1.13095047e+01,9.99995472e-01,1.29984237e+01
2.24358974e-03,2.45393683e-06,1.98940594e-05,5.90455581e-01,2.50499844e-01,1.26741475e+01,9.99857421e-01,9.99857428e-01,9.54869014e+00,9.99831058e-01,9.37901525e+00,9.99956737e-01,1.07413514e+01,9.99990482e-01,1.22554626e+01
2.56410256e-03,2.57975014e-06,2.36056219e-05,6.22294337e-01,3.54730240e-01,1.83609515e+01,9.99697186e-01,9.99697217e-01,8.79538914e+00,9.99683055e-01,8.74976996e+00,9.99903478e-01,9.93885145e+00,9.99979104e-01,1.14690853e+01
2.88461538e-03,1.96483347e-06,2.11437657e-05,4.48416507e-01,3.85693159e-01,2.92673332e+01,9.99149121e-01,9.99149362e-01,7.76196176e+00,9.99344362e-01,8.02272041e+00,9.99795222e-01,9.18663103e+00,9.99948143e-01,1.05601442e+01
3.20512821e-03,1.07956577e-06,1.28761461e-05,1.50466834e-01,3.06744701e-01,6.05670570e+01,9.96387977e-01,9.96392316e-01,6.31482683e+00,9.98445350e-01,7.15887444e+00,9.99529752e-01,8.35516399e+00,9.99865362e-01,9.60600042e+00
3.52564103e-03,9.07850626e-07,3.58975563e-06,-5.05581166e-02,1.56301769e-01,-1.69596666e+02,9.82411306e-01,9.82513235e-01,4.72481288e+00,9.96750257e-01,6.42070036e+00,9.99010662e-01,7.61112743e+00,9.99778269e-01,9.10708357e+00
3.84615385e-03,2.33176657e-06,5.12351434e-07,8.14952131e-02,5.29567234e-02,-7.69883431e+01,9.36853710e-01,9.38129689e-01,3.42336604e+00,9.95227497e-01,6.03564299e+00,9.98597522e-01,7.26196064e+00,9.99661948e-01,8.68529508e+00
4.16666667e-03,5.39816384e-06,8.96617247e-06,6.23271250e-01,1.34597045e-01,-3.91133409e+01,9.96708644e-01,9.96712247e-01,6.40795577e+00,9.95237374e-01,6.03771914e+00,9.98557017e-01,7.23346899e+00,9.99567300e-01,8.43839770e+00
4.48717949e-03,9.04267996e-06,2.83236489e-05,1.39425865e+00,4.59757393e-01,-2.31849054e+01,9.98484149e-01,9.98484914e-01,7.18416698e+00,9.95380519e-01,6.06830850e+00,9.98616459e-01,7.27556432e+00,9.99689523e-01,8.77039224e+00
4.80769231e-03,1.15843080e-05,5.11873954e-05,2.02661520e+00,9.40086856e-01,-1.20922620e+01,9.98669058e-01,9.98669647e-01,7.31434943e+00,9.94782203e-01,5.94621485e+00,9.98214325e-01,7.02021318e+00,9.99558228e-01,8.41764506e+00
5.12820513e-03,1.17409880e-05,6.68429932e-05,2.17737678e+00,1.36472970e+00,7.25455099e-01,9.98352017e-01,9.98352921e-01,7.10052577e+00,9.93131754e-01,5.67055383e+00,9.97588960e-01,6.71963919e+00,9.99397264e-01,8.10687981e+00
5.44871795e-03,9.48648438e-06,6.72198536e-05,1.74844476e+00,1.51738287e+00,2.50694639e+01,9.97227822e-01,9.97230379e-01,6.57988200e+00,9.90486895e-01,5.34346427e+00,9.96330756e-01,6.29908134e+00,9.99151311e-01,7.76455778e+00
5.76923077e-03,6.13006094e-06,5.17909733e-05,9.62902850e-01,1.31557011e+00,1.00536825e+02,9.93316520e-01,9.93331344e-01,5.69791631e+00,9.86130983e-01,4.96428652e+00,9.95411300e-01,6.07500910e+00,9.98945629e-01,7.54743630e+00
6.08974359e-03,3.53389989e-06,2.83360837e-05,2.40297097e-01,8.75356027e-01,-1.57780121e+02,9.76154614e-01,9.76341193e-01,4.41731736e+00,9.81481680e-01,4.67283965e+00,9.93588106e-01,5.73953684e+00,9.98528072e-01,7.21359728e+00
6.41025641e-03,2.99174949e-06,8.98553347e-06,-4.88952096e-02,4.49473527e-01,-1.09202359e+02,8.99053301e-01,9.02239036e-01,2.93451813e+00,9.76831321e-01,4.44644918e+00,9.91619957e-01,5.47085066e+00,9.97776138e-01,6.80054455e+00
6.73076923e-03,4.51687930e-06,3.80787510e-06,2.10611253e-01,2.74257959e-01,-9.11156227e+01,8.14657671e-01,8.24880008e-01,2.28144757e+00,9.73617904e-01,4.31493804e+00,9.90593462e-01,5.35478331e+00,9.97748707e-01,6.78827373e+00
7.05128205e-03,6.97050747e-06,1.55908203e-05,8.38355907e-01,4.26753633e-01,-8.58923232e+01,9.65810496e-01,9.66191501e-01,4.05174122e+00,9.69159073e-01,4.15651931e+00,9.89542103e-01,5.24830309e+00,9.97493598e-01,6.68080044e+00
