# Bivariate results
# Nyquist frequency: 0.4
# Actual number of segments: 3
# Effective number of segments: 3
# Segment start and end points: [[0, 185], [185, 305], [305, 459]]
# Segments detrended: True
# Trend type: linear
# Window applied: None
# Segment-averaged -6dB main lobe half width: 0.007665767542899817
# Rayleigh resolution (1/2 best-case resolution limit): 0.0019095697758963275
# C2xy 5% FAP (analytical): 0.7763932022500211
# C2xy 1% FAP (analytical): 0.9
# C2xy 0.1% FAP (analytical): 0.9683772233983162
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 0.17250118684080776
# Sxx 1% FAP (bootstrap): 0.1992001438963948
# Syy 5% FAP (bootstrap): 0.00694661986664997
# Syy 1% FAP (bootstrap): 0.008035995845048981
# Sxx 0.1% FAP (bootstrap): 0.23581984805504239
# Syy 0.1% FAP (bootstrap): 0.009943036996154321
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
3.82409178e-04,6.35810155e-09,4.38815553e-06,1.01944844e-02,2.57668051e-03,1.72958612e+02,9.93895359e-01,9.93907731e-01,5.78879614e+00,9.99482549e-01,8.25948336e+00,9.99887644e-01,9.78692896e+00,9.99978986e-01,1.14634823e+01
7.64818356e-04,1.11600562e-07,5.91019691e-05,1.46074670e-01,6.92806003e-02,1.67127812e+02,9.93854698e-01,9.93867235e-01,5.78213714e+00,9.99317507e-01,7.98256421e+00,9.99828808e-01,9.36578646e+00,9.99965569e-01,1.09696914e+01
1.14722753e-03,5.97623349e-07,2.23850735e-04,6.14435920e-01,3.90205015e-01,1.63331934e+02,9.93214386e-01,9.93229665e-01,5.68269911e+00,9.98993560e-01,7.59398039e+00,9.99728247e-01,8.90362944e+00,9.99933245e-01,1.03075884e+01
1.52963671e-03,1.80784595e-06,4.69261127e-04,1.49322913e+00,1.06004834e+00,1.62037496e+02,9.91365904e-01,9.91390611e-01,5.44085704e+00,9.98402092e-01,7.13140795e+00,9.99521559e-01,8.33788613e+00,9.99891348e-01,9.82045526e+00
1.91204589e-03,3.67724500e-06,6.76391603e-04,2.58364168e+00,1.76499691e+00,1.63712647e+02,9.87159489e-01,9.87213984e-01,5.04185645e+00,9.97306486e-01,6.60870833e+00,9.99176057e-01,7.79414480e+00,9.99811355e-01,9.26869691e+00
2.29445507e-03,5.37310052e-06,7.58686207e-04,3.48328350e+00,1.94126921e+00,1.69332096e+02,9.78183316e-01,9.78339705e-01,4.50725918e+00,9.95168477e-01,6.02332198e+00,9.98390130e-01,7.12394439e+00,9.99666661e-01,8.69933243e+00
2.67686424e-03,5.77894418e-06,7.62929310e-04,3.85409260e+00,1.43139875e+00,-1.79370477e+02,9.61030389e-01,9.61523860e-01,3.91844319e+00,9.91020029e-01,5.40140571e+00,9.97016677e-01,6.50637342e+00,9.99294797e-01,7.94981996e+00
3.05927342e-03,4.74933432e-06,8.23786631e-04,3.71572397e+00,9.04399611e-01,-1.64535657e+02,9.36185260e-01,9.37487850e-01,3.41249076e+00,9.85510584e-01,4.92021296e+00,9.95579707e-01,6.11248387e+00,9.98688033e-01,7.32871851e+00
3.44168260e-03,3.87906979e-06,1.02029005e-03,3.54287419e+00,1.37709278e+00,-1.76352660e+02,9.13207289e-01,9.15582715e-01,3.09301367e+00,9.81870389e-01,4.69424977e+00,9.93988848e-01,5.80427592e+00,9.98547935e-01,7.22719049e+00
3.82409178e-03,5.54481924e-06,1.29668404e-03,4.01810906e+00,3.16032624e+00,1.46903222e+02,9.08977192e-01,9.11583045e-01,3.04321277e+00,9.78986848e-01,4.54519189e+00,9.93072638e-01,5.66195527e+00,9.97273245e-01,6.59643722e+00
4.20650096e-03,1.06355819e-05,1.52825473e-03,5.51183204e+00,5.33513515e+00,1.42009815e+02,9.05156152e-01,9.07978786e-01,3.00008742e+00,9.75513192e-01,4.39044922e+00,9.90548013e-01,5.34994050e+00,9.96545580e-01,6.35951919e+00
