# Bivariate results
# Nyquist frequency: 0.2
# Actual number of segments: 3
# Effective number of segments: 3
# Segment start and end points: [[0, 185], [185, 305], [305, 459]]
# Segments detrended: True
# Trend type: quadratic
# Window applied: None
# Segment-averaged -6dB main lobe half width: 0.007665767542899817
# Rayleigh resolution (1/2 best-case resolution limit): 0.0019095697758963275
# C2xy 5% FAP (analytical): 0.7763932022500211
# C2xy 1% FAP (analytical): 0.9
# C2xy 0.1% FAP (analytical): 0.9683772233983162
# Number of bootstrap iterations: 10000
# Sxx 5% FAP (bootstrap): 0.16000959563196823
# Sxx 1% FAP (bootstrap): 0.1866179194339697
# Syy 5% FAP (bootstrap): 0.006424857956522787
# Syy 1% FAP (bootstrap): 0.007580916480050042
# Sxx 0.1% FAP (bootstrap): 0.21956414867365218
# Syy 0.1% FAP (bootstrap): 0.009012850791591963
# frequency,Welch_pow_x,Welch_pow_y,cross_real,cross_imag,phase,coh,coh_raw,coh_transformed,coh_boot_FAP_5,coh_transformed_boot_FAP_5,coh_boot_FAP_1,coh_transformed_boot_FAP_1,coh_boot_FAP_01,coh_transformed_boot_FAP_01
3.20512821e-04,1.47104448e-10,6.11753870e-09,9.49463464e-05,2.62062845e-06,-6.26037719e+00,9.99992715e-01,9.99992715e-01,1.25227908e+01,9.99977791e-01,1.14081340e+01,9.99996075e-01,1.31413708e+01,9.99999587e-01,1.53920754e+01
6.41025641e-04,8.44892710e-09,3.52082153e-07,5.45248881e-03,3.03146149e-04,-1.24228905e+01,9.99991930e-01,9.99991930e-01,1.24205328e+01,9.99972877e-01,1.12082563e+01,9.99994750e-01,1.28503362e+01,9.99999357e-01,1.49495163e+01
9.61538462e-04,8.01138286e-08,3.35008815e-06,5.16860553e-02,4.37503775e-03,-1.84143748e+01,9.99990345e-01,9.99990345e-01,1.22411417e+01,9.99964719e-01,1.09453029e+01,9.99992515e-01,1.24957412e+01,9.99998786e-01,1.43144330e+01
1.28205128e-03,3.45620993e-07,1.45272350e-05,2.22873401e-01,2.57277804e-02,-2.41142525e+01,9.99987473e-01,9.99987473e-01,1.19807863e+01,9.99951694e-01,1.06310826e+01,9.99989409e-01,1.21486629e+01,9.99997648e-01,1.36535704e+01
1.60256410e-03,9.25358909e-07,3.91735509e-05,5.96237548e-01,8.88786988e-02,-2.93633726e+01,9.99982190e-01,9.99982190e-01,1.16288751e+01,9.99929671e-01,1.02554362e+01,9.99984732e-01,1.17828927e+01,9.99996121e-01,1.31530981e+01
1.92307692e-03,1.74752498e-06,7.46842266e-05,1.12426153e+00,2.10708044e-01,-3.39082277e+01,9.99971726e-01,9.99971727e-01,1.11667139e+01,9.99890090e-01,9.80893880e+00,9.99975293e-01,1.13015568e+01,9.99992349e-01,1.24738271e+01
2.24358974e-03,2.45393683e-06,1.06130332e-04,1.57322661e+00,3.68409867e-01,-3.72848706e+01,9.99948129e-01,9.99948130e-01,1.05598722e+01,9.99823733e-01,9.33656721e+00,9.99956294e-01,1.07311641e+01,9.99987193e-01,1.19586756e+01
2.56410256e-03,2.57975014e-06,1.12930345e-04,1.63783681e+00,4.87620219e-01,-3.85178448e+01,9.99881996e-01,9.99882001e-01,9.73788163e+00,9.99665517e-01,8.69590304e+00,9.99918073e-01,1.01027944e+01,9.99974313e-01,1.12626650e+01
2.88461538e-03,1.96483347e-06,8.55977623e-05,1.20494195e+00,4.83246192e-01,-3.51829990e+01,9.99608678e-01,9.99608729e-01,8.53893112e+00,9.99307840e-01,7.96849423e+00,9.99802424e-01,9.22243494e+00,9.99938428e-01,1.03884227e+01
3.20512821e-03,1.07956577e-06,4.02543532e-05,5.63693735e-01,3.41723521e-01,-2.01257409e+01,9.97388914e-01,9.97391182e-01,6.63982971e+00,9.98416783e-01,7.14065193e+00,9.99519629e-01,8.33385905e+00,9.99885770e-01,9.77038718e+00
3.52564103e-03,9.07850626e-07,1.61416394e-05,3.34941980e-01,1.79678156e-01,2.05021823e+01,9.83305091e-01,9.83396978e-01,4.77741614e+00,9.96525127e-01,6.35360571e+00,9.99028789e-01,7.62962916e+00,9.99843008e-01,9.45238170e+00
3.84615385e-03,2.33176657e-06,5.25075890e-05,1.08525686e+00,2.07217397e-01,6.03892360e+01,9.94528483e-01,9.94538426e-01,5.89860704e+00,9.94822682e-01,5.95402326e+00,9.98412979e-01,7.13825066e+00,9.99710844e-01,8.84154627e+00
4.16666667e-03,5.39816384e-06,1.58537210e-04,2.86612902e+00,5.89248804e-01,8.13921305e+01,9.97941035e-01,9.97942446e-01,6.87766911e+00,9.94764405e-01,5.94280143e+00,9.98397637e-01,7.12862126e+00,9.99754574e-01,9.00554001e+00
4.48717949e-03,9.04267996e-06,2.98936043e-04,5.03890055e+00,1.29252431e+00,9.99923561e+01,9.98579028e-01,9.98579700e-01,7.24885053e+00,9.94978038e-01,5.98456758e+00,9.98331443e-01,7.08810847e+00,9.99644317e-01,8.63443867e+00
4.80769231e-03,1.15843080e-05,4.09224723e-04,6.57802947e+00,2.04610326e+00,1.21376538e+02,9.98573979e-01,9.98574656e-01,7.24530088e+00,9.94453358e-01,5.88493266e+00,9.98252077e-01,7.04159983e+00,9.99611462e-01,8.54607237e+00
5.12820513e-03,1.17409880e-05,4.33691592e-04,6.69411908e+00,2.47782233e+00,1.37630434e+02,9.98107350e-01,9.98108543e-01,6.96197774e+00,9.93190366e-01,5.67915346e+00,9.97757238e-01,6.79207449e+00,9.99534533e-01,8.36538288e+00
5.44871795e-03,9.48648438e-06,3.61246686e-04,5.35657878e+00,2.35586063e+00,1.38728924e+02,9.96720523e-01,9.96724100e-01,6.41157730e+00,9.90916917e-01,5.38993693e+00,9.97335489e-01,6.61954901e+00,9.99199427e-01,7.82292975e+00
5.76923077e-03,6.13006094e-06,2.34336229e-04,3.34169963e+00,1.76719111e+00,7.34976826e+01,9.92268125e-01,9.92287950e-01,5.55167762e+00,9.86898988e-01,5.02164091e+00,9.95676877e-01,6.13476042e+00,9.99093700e-01,7.69884976e+00
6.08974359e-03,3.53389989e-06,1.24323511e-04,1.76278462e+00,1.09129740e+00,2.10087678e+01,9.75706456e-01,9.75900058e-01,4.39847066e+00,9.81436404e-01,4.67037496e+00,9.93614612e-01,5.74369254e+00,9.98648590e-01,7.29907826e+00
6.41025641e-03,2.99174949e-06,8.97320603e-05,1.40374384e+00,7.69656237e-01,2.27829324e+01,9.51522626e-01,9.52281640e-01,3.69526801e+00,9.76673477e-01,4.43957961e+00,9.91284484e-01,5.43143043e+00,9.97838672e-01,6.82909843e+00
6.73076923e-03,4.51687930e-06,1.44517044e-04,2.30041402e+00,1.02363569e+00,3.24013433e+01,9.68456211e-01,9.68781084e-01,4.13362815e+00,9.72776950e-01,4.28313354e+00,9.90324895e-01,5.32649711e+00,9.98158119e-01,6.98919402e+00
7.05128205e-03,6.97050747e-06,2.54987765e-04,3.81391933e+00,1.71583500e+00,3.95493879e+01,9.81453723e-01,9.81566982e-01,4.67131698e+00,9.68906610e-01,4.14823859e+00,9.89566466e-01,5.25064702e+00,9.97241503e-01,6.58483707e+00
7.37179487e-03,8.86349346e-06,3.63804247e-04,5.08759294e+00,2.44725385e+00,4.03445805e+01,9.85890515e-01,9.85956257e-01,4.94697545e+00,9.66205677e-01,4.06356907e+00,9.88604630e-01,5.16198144e+00,9.96293272e-01,6.28889809e+00
7.69230769e-03,9.23861160e-06,4.22933842e-04,5.54391116e+00,2.81426377e+00,3.51120030e+01,9.86764538e-01,9.86822421e-01,5.01136298e+00,9.60689404e-01,3.90955734e+00,9.85817682e-01,4.94179085e+00,9.97752647e-01,6.79002517e+00
8.01282051e-03,8.07526942e-06,4.15313508e-04,5.11395947e+00,2.64411505e+00,2.43730581e+01,9.85719451e-01,9.85786789e-01,4.93483814e+00,9.52382962e-01,3.71361620e+00,9.83643948e-01,4.79809283e+00,9.94933485e-01,5.97572058e+00
8.33333333e-03,6.06872597e-06,3.56037164e-04,4.12997855e+00,2.05995746e+00,7.23929322e+00,9.83243291e-01,9.83335855e-01,4.77369007e+00,9.44479404e-01,3.55599553e+00,9.79358035e-01,4.56320170e+00,9.94656560e-01,5.92236030e+00
8.65384615e-03,4.07209118e-06,2.77959632e-04,3.04349795e+00,1.36009865e+00,-1.77913376e+01,9.79199731e-01,9.79341983e-01,4.55548197e+00,9.37600147e-01,3.43564254e+00,9.77702586e-01,4.48522043e+00,9.94134980e-01,5.82896007e+00
8.97435897e-03,2.63635563e-06,2.13679569e-04,2.19244201e+00,8.21931488e-01,-4.62351889e+01,9.70479255e-01,9.70764166e-01,4.20093882e+00,9.28994331e-01,3.30199436e+00,9.72946625e-01,4.28947169e+00,9.92339611e-01,5.56100218e+00
9.29487179e-03,1.89547128e-06,1.83469957e-04,1.72921852e+00,5.68400206e-01,-6.24510022e+01,9.49537164e-01,9.50358587e-01,3.65411012e+00,9.19483466e-01,3.17134884e+00,9.72454099e-01,4.27118029e+00,9.90807497e-01,5.37790736e+00
9.61538462e-03,1.73315256e-06,1.91789738e-04,1.66923314e+00,5.61119570e-01,-3.28472329e+01,9.29030228e-01,9.30634104e-01,3.30251865e+00,9.10340972e-01,3.05902313e+00,9.69478508e-01,4.16709304e+00,9.90120330e-01,5.30547133e+00
9.93589744e-03,1.99594658e-06,2.29956360e-04,1.95566537e+00,6.83532084e-01,1.69426380e+01,9.31234321e-01,9.32742192e-01,3.33520986e+00,9.05099761e-01,2.99946344e+00,9.65281414e-01,4.03611634e+00,9.89354853e-01,5.23046163e+00
1.02564103e-02,2.57700587e-06,2.81767964e-04,2.48371854e+00,8.30009977e-01,2.13880482e+01,9.40962898e-01,9.42081098e-01,3.49277338e+00,8.98938512e-01,2.93332159e+00,9.60939540e-01,3.91606842e+00,9.87716671e-01,5.08649975e+00
1.05769231e-02,3.37407217e-06,3.30190064e-04,3.10652218e+00,9.44097968e-01,1.63879884e+01,9.42811661e-01,9.43862147e-01,3.52554149e+00,8.94865904e-01,2.89166694e+00,9.58211750e-01,3.84717211e+00,9.90445647e-01,5.33911920e+00
1.08974359e-02,4.24004512e-06,3.63676726e-04,3.66825050e+00,1.00853142e+00,8.24025528e+00,9.34892593e-01,9.36247392e-01,3.39176878e+00,8.87034624e-01,2.81568053e+00,9.60209898e-01,3.89718866e+00,9.89901086e-01,5.28341296e+00
