# Welch's power spectrum estimate
# Chosen Nyquist frequency: 0.2
# Rayleigh resolution: 0.00032236155369113673
# 6-dB main lobe half width (1/2 limiting resolution): 0.0035912120288300823
# Actual number of segments: 5
# Effective number of segments: 4.988474628218962
# Segment start and end points: [[0, 203], [101, 304], [203, 406], [304, 507], [405, 611]]
# Segments detrended: True
# Trend type: linear
# Window applied: BlackmanHarris
# Number of bootstrap iterations: 10000
# 5% FAP (bootstrap): 0.0004897159104923477
# 1% FAP (bootstrap): 0.000576032303070119
# 0.1% FAP (bootstrap): 0.0006686909239068843
# frequency,power
5.37634409e-05,3.10731953e-04
1.07526882e-04,3.11218606e-04
1.61290323e-04,3.12017698e-04
2.15053763e-04,3.13111415e-04
2.68817204e-04,3.14475169e-04
3.22580645e-04,3.16077948e-04
3.76344086e-04,3.17882760e-04
4.30107527e-04,3.19847152e-04
4.83870968e-04,3.21923830e-04
5.37634409e-04,3.24061330e-04
5.91397849e-04,3.26204771e-04
6.45161290e-04,3.28296651e-04
6.98924731e-04,3.30277692e-04
7.52688172e-04,3.32087716e-04
8.06451613e-04,3.33666543e-04
8.60215054e-04,3.34954895e-04
9.13978495e-04,3.35895301e-04
9.67741935e-04,3.36432965e-04
1.02150538e-03,3.36516612e-04
1.07526882e-03,3.36099294e-04
1.12903226e-03,3.35139132e-04
1.18279570e-03,3.33599986e-04
1.23655914e-03,3.31452039e-04
1.29032258e-03,3.28672296e-04
1.34408602e-03,3.25244973e-04
1.39784946e-03,3.19475038e-04
1.45161290e-03,3.12721759e-04
1.50537634e-03,3.06121264e-04
1.55913978e-03,2.99482310e-04
1.61290323e-03,2.92658362e-04
1.66666667e-03,2.85549116e-04
1.72043011e-03,2.78096244e-04
1.77419355e-03,2.70275709e-04
1.82795699e-03,2.62088848e-04
1.88172043e-03,2.53553896e-04
1.93548387e-03,2.47794388e-04
1.98924731e-03,2.38037312e-04
2.04301075e-03,2.28059574e-04
2.09677419e-03,2.17926412e-04
2.15053763e-03,2.07703880e-04
2.20430108e-03,1.97457965e-04
2.25806452e-03,1.87253711e-04
2.31182796e-03,1.77154384e-04
2.36559140e-03,1.67220677e-04
2.41935484e-03,1.57509980e-04
2.47311828e-03,1.48075714e-04
2.52688172e-03,1.38966757e-04
2.58064516e-03,1.30226959e-04
2.63440860e-03,1.21894728e-04
2.68817204e-03,1.14002738e-04
2.74193548e-03,1.06577744e-04
2.79569892e-03,9.96404916e-05
2.84946237e-03,9.32057359e-05
2.90322581e-03,8.72823523e-05
2.95698925e-03,8.18735514e-05
3.01075269e-03,7.69771827e-05
3.06451613e-03,7.25861230e-05
3.11827957e-03,8.27725160e-05
3.17204301e-03,1.01097944e-04
3.22580645e-03,1.21966180e-04
3.27956989e-03,1.45010737e-04
3.33333333e-03,1.69815221e-04
3.38709677e-03,1.95927959e-04
3.44086022e-03,2.22877700e-04
3.49462366e-03,2.50189255e-04
3.54838710e-03,2.77398681e-04
3.60215054e-03,3.04067137e-04
3.65591398e-03,3.29792820e-04
3.70967742e-03,3.54220444e-04
3.76344086e-03,3.77047845e-04
3.81720430e-03,3.98029480e-04
3.87096774e-03,4.16976730e-04
3.92473118e-03,4.33755031e-04
3.97849462e-03,4.48278306e-04
4.03225806e-03,4.60501044e-04
4.08602151e-03,4.70408646e-04
4.13978495e-03,4.78006844e-04
4.19354839e-03,4.83310967e-04
4.24731183e-03,4.86335933e-04
4.30107527e-03,4.87087788e-04
4.35483871e-03,4.85557544e-04
4.40860215e-03,4.81717918e-04
4.46236559e-03,4.75523403e-04
4.51612903e-03,4.66913885e-04
4.56989247e-03,4.55821708e-04
4.62365591e-03,4.42181910e-04
4.67741935e-03,4.25945091e-04
4.73118280e-03,4.07092035e-04
4.78494624e-03,3.85649143e-04
4.83870968e-03,3.61703556e-04
4.89247312e-03,3.35416794e-04
4.94623656e-03,3.07035766e-04
5.00000000e-03,2.76900081e-04
5.05376344e-03,2.45444838e-04
5.10752688e-03,2.13198231e-04
5.16129032e-03,1.80773626e-04
5.21505376e-03,1.78705500e-04
5.26881720e-03,1.90147490e-04
5.32258065e-03,2.02084812e-04
5.37634409e-03,2.14478622e-04
5.43010753e-03,2.27283701e-04
5.48387097e-03,2.40448807e-04
5.53763441e-03,2.53917123e-04
5.59139785e-03,2.67626790e-04
5.64516129e-03,2.81511524e-04
5.69892473e-03,2.95501306e-04
5.75268817e-03,3.09523124e-04
5.80645161e-03,3.23501768e-04
5.86021505e-03,3.37360651e-04
5.91397849e-03,3.51022649e-04
5.96774194e-03,3.64410969e-04
6.02150538e-03,3.77449998e-04
6.07526882e-03,3.90066134e-04
6.12903226e-03,4.02188580e-04
6.18279570e-03,4.13750121e-04
6.23655914e-03,4.24687838e-04
6.29032258e-03,4.34943766e-04
6.34408602e-03,4.44465495e-04
6.39784946e-03,4.54945200e-04
6.45161290e-03,4.96745149e-04
6.50537634e-03,5.35857197e-04
6.55913978e-03,5.71737790e-04
6.61290323e-03,6.03928944e-04
6.66666667e-03,6.32058690e-04
6.72043011e-03,6.55838949e-04
6.77419355e-03,6.75061986e-04
6.82795699e-03,6.89595452e-04
6.88172043e-03,6.99377382e-04
6.93548387e-03,7.04411184e-04
6.98924731e-03,7.04761120e-04
7.04301075e-03,7.00548449e-04
7.09677419e-03,6.91948211e-04
7.15053763e-03,6.79186487e-04
