# Welch's spectral window
# Measured half main lobe width: 0.003118279569892496
# frequency power
-2.000000000000000111e-01 3.740186911519469137e-01
-1.999462365591397894e-01 3.720753906921310250e-01
-1.998924731182795678e-01 3.724818426849387798e-01
-1.998387096774193739e-01 3.738757396773723651e-01
-1.997849462365591522e-01 3.748084682815084334e-01
-1.997311827956989305e-01 3.738911879970291396e-01
-1.996774193548387089e-01 3.699423971475296891e-01
-1.996236559139785149e-01 3.621147625926225411e-01
-1.995698924731182933e-01 3.499845708643767317e-01
-1.995161290322580716e-01 3.335947957036659584e-01
-1.994623655913978499e-01 3.134499264498049609e-01
-1.994086021505376560e-01 2.904652792142486950e-01
-1.993548387096774344e-01 2.658757395222414721e-01
-1.993010752688172127e-01 2.411105666233184508e-01
-1.992473118279569910e-01 2.176437474088790125e-01
-1.991935483870967971e-01 1.968342018692793294e-01
-1.991397849462365754e-01 1.797754033116568395e-01
-1.990860215053763538e-01 1.671770626139320592e-01
-1.990322580645161321e-01 1.592997626559769231e-01
-1.989784946236559382e-01 1.559554451877447345e-01
-1.989247311827957165e-01 1.565738142952453893e-01
-1.988709677419354949e-01 1.603209012732368099e-01
-1.988172043010752732e-01 1.662453508486763654e-01
-1.987634408602150515e-01 1.734240291876658902e-01
-1.987096774193548576e-01 1.810821342508553700e-01
-1.986559139784946360e-01 1.886722554427243403e-01
-1.986021505376344143e-01 1.959084917847278839e-01
-1.985483870967741926e-01 2.027614894347121999e-01
-1.984946236559139987e-01 2.094260649757797854e-01
-1.984408602150537770e-01 2.162737892214796898e-01
-1.983870967741935554e-01 2.237999427921944229e-01
-1.983333333333333337e-01 2.325695619361335675e-01
-1.982795698924731398e-01 2.431629532825650142e-01
-1.982258064516129181e-01 2.561187959990722796e-01
-1.981720430107526965e-01 2.718728641849820771e-01
-1.981182795698924748e-01 2.906936681158560631e-01
-1.980645161290322809e-01 3.126205534047797885e-01
-1.980107526881720592e-01 3.374150195431993571e-01
-1.979569892473118375e-01 3.645395853576961498e-01
-1.979032258064516159e-01 3.931787421210122813e-01
-1.978494623655914220e-01 4.223119188374414024e-01
-1.977956989247312003e-01 4.508383353414111561e-01
-1.977419354838709786e-01 4.777398731099314899e-01
-1.976881720430107570e-01 5.022538720573260784e-01
-1.976344086021505353e-01 5.240174807925159772e-01
-1.975806451612903414e-01 5.431439470554537685e-01
-1.975268817204301197e-01 5.602008311935177121e-01
-1.974731182795698980e-01 5.760810631703479068e-01
-1.974193548387096764e-01 5.917847043202544288e-01
-1.973655913978494825e-01 6.081557970646216393e-01
-1.973118279569892608e-01 6.256360014730379948e-01
-1.972580645161290391e-01 6.440984042640764962e-01
-1.972043010752688175e-01 6.628089918040280804e-01
-1.971505376344086236e-01 6.805326252772356810e-01
-1.970967741935484019e-01 6.957637852286403524e-01
-1.970430107526881802e-01 7.070294560565698605e-01
-1.969892473118279586e-01 7.131934782089216496e-01
