# Standard, non-uniform FFT-based periodogram
# Chosen Nyquist frequency: 0.2
# Rayleigh resolution: 0.00018885811529837266
# Detrended: True
# Trend type: linear
# Number of bootstrap iterations: 10000
# 5% FAP (bootstrap): 0.00012626450446025998
# 1% FAP (bootstrap): 0.0001497880814284838
# 0.1% FAP (bootstrap): 0.00018033995315617428
# Window applied: KaiserBessel
# frequency,power
0.00000000e+00,3.49501612e-07
3.77786173e-05,4.30117107e-07
7.55572346e-05,6.76788293e-07
1.13335852e-04,1.10757233e-06
1.51114469e-04,1.76324364e-06
1.88893087e-04,2.71939124e-06
2.26671704e-04,4.09639952e-06
2.64450321e-04,6.06026084e-06
3.02228938e-04,8.80319938e-06
3.40007556e-04,1.24906671e-05
3.77786173e-04,1.71676693e-05
4.15564790e-04,2.26385753e-05
4.53343408e-04,2.83665481e-05
4.91122025e-04,3.34632117e-05
5.28900642e-04,3.68307218e-05
5.66679260e-04,3.74626847e-05
6.04457877e-04,3.48222940e-05
6.42236494e-04,2.91412948e-05
6.80015111e-04,2.14764453e-05
7.17793729e-04,1.34459320e-05
7.55572346e-04,6.71717647e-06
7.93350963e-04,2.45203830e-06
8.31129581e-04,9.54357131e-07
8.68908198e-04,1.67574651e-06
9.06686815e-04,3.56156691e-06
9.44465433e-04,5.55556939e-06
9.82244050e-04,7.01867202e-06
1.02002267e-03,7.88370818e-06
1.05780128e-03,8.51732689e-06
1.09557990e-03,9.40424327e-06
1.13335852e-03,1.08339119e-05
1.17113714e-03,1.27360123e-05
1.20891575e-03,1.47147258e-05
1.24669437e-03,1.62323534e-05
1.28447299e-03,1.68369826e-05
1.32225161e-03,1.63306324e-05
1.36003022e-03,1.48190455e-05
1.39780884e-03,1.26434247e-05
1.43558746e-03,1.02416200e-05
1.47336607e-03,8.00463379e-06
1.51114469e-03,6.18195738e-06
1.54892331e-03,4.85740737e-06
1.58670193e-03,3.98643601e-06
1.62448054e-03,3.47192616e-06
1.66225916e-03,3.25922616e-06
1.70003778e-03,3.43752604e-06
1.73781640e-03,4.32717122e-06
1.77559501e-03,6.51106110e-06
1.81337363e-03,1.07549887e-05
1.85115225e-03,1.77846711e-05
1.88893087e-03,2.79534152e-05
1.92670948e-03,4.09148605e-05
1.96448810e-03,5.54578490e-05
2.00226672e-03,6.96249743e-05
2.04004533e-03,8.11267427e-05
2.07782395e-03,8.79304753e-05
2.11560257e-03,8.88176959e-05
2.15338119e-03,8.37112764e-05
2.19115980e-03,7.36696452e-05
2.22893842e-03,6.05782654e-05
2.26671704e-03,4.66744305e-05
2.30449566e-03,3.40758514e-05
2.34227427e-03,2.44445477e-05
2.38005289e-03,1.88368102e-05
2.41783151e-03,1.77121104e-05
2.45561012e-03,2.10308281e-05
2.49338874e-03,2.83710911e-05
2.53116736e-03,3.90249654e-05
2.56894598e-03,5.20702269e-05
2.60672459e-03,6.64362136e-05
2.64450321e-03,8.09834590e-05
2.68228183e-03,9.46023694e-05
2.72006045e-03,1.06318432e-04
2.75783906e-03,1.15381638e-04
2.79561768e-03,1.21321481e-04
2.83339630e-03,1.23963399e-04
2.87117491e-03,1.23419910e-04
2.90895353e-03,1.20079037e-04
2.94673215e-03,1.14607651e-04
2.98451077e-03,1.07966163e-04
3.02228938e-03,1.01403928e-04
3.06006800e-03,9.63870910e-05
3.09784662e-03,9.44192549e-05
3.13562524e-03,9.67553662e-05
3.17340385e-03,1.04067730e-04
3.21118247e-03,1.16170729e-04
3.24896109e-03,1.31916182e-04
3.28673971e-03,1.49322848e-04
3.32451832e-03,1.65918123e-04
3.36229694e-03,1.79190719e-04
3.40007556e-03,1.87021699e-04
3.43785417e-03,1.87994288e-04
3.47563279e-03,1.81556144e-04
3.51341141e-03,1.68073326e-04
3.55119003e-03,1.48830987e-04
3.58896864e-03,1.25996095e-04
3.62674726e-03,1.02496693e-04
3.66452588e-03,8.17428286e-05
3.70230450e-03,6.71499647e-05
3.74008311e-03,6.15165832e-05
3.77786173e-03,6.64043964e-05
3.81564035e-03,8.17132374e-05
3.85341896e-03,1.05600693e-04
3.89119758e-03,1.34784265e-04
3.92897620e-03,1.65135021e-04
3.96675482e-03,1.92389364e-04
4.00453343e-03,2.12803227e-04
4.04231205e-03,2.23639581e-04
4.08009067e-03,2.23465008e-04
4.11786929e-03,2.12280856e-04
4.15564790e-03,1.91505165e-04
4.19342652e-03,1.63781235e-04
4.23120514e-03,1.32572685e-04
4.26898376e-03,1.01556344e-04
4.30676237e-03,7.39316368e-05
4.34454099e-03,5.18603688e-05
4.38231961e-03,3.62515519e-05
4.42009822e-03,2.69785679e-05
4.45787684e-03,2.34130961e-05
4.49565546e-03,2.49967309e-05
4.53343408e-03,3.15522866e-05
4.57121269e-03,4.31841873e-05
4.60899131e-03,5.98494517e-05
4.64676993e-03,8.08623841e-05
4.68454855e-03,1.04624637e-04
4.72232716e-03,1.28741388e-04
4.76010578e-03,1.50480218e-04
4.79788440e-03,1.67371877e-04
4.83566301e-03,1.77717825e-04
4.87344163e-03,1.80856046e-04
4.91122025e-03,1.77173623e-04
4.94899887e-03,1.67958594e-04
4.98677748e-03,1.55204730e-04
5.02455610e-03,1.41429250e-04
5.06233472e-03,1.29484439e-04
5.10011334e-03,1.22298833e-04
5.13789195e-03,1.22504658e-04
5.17567057e-03,1.31983954e-04
5.21344919e-03,1.51447954e-04
5.25122781e-03,1.80196885e-04
5.28900642e-03,2.16161281e-04
5.32678504e-03,2.56219977e-04
5.36456366e-03,2.96682710e-04
5.40234227e-03,3.33779421e-04
5.44012089e-03,3.64040020e-04
5.47789951e-03,3.84547197e-04
5.51567813e-03,3.93131715e-04
5.55345674e-03,3.88593988e-04
5.59123536e-03,3.70966589e-04
5.62901398e-03,3.41729672e-04
5.66679260e-03,3.03832505e-04
5.70457121e-03,2.61411417e-04
5.74234983e-03,2.19216882e-04
5.78012845e-03,1.81899612e-04
5.81790706e-03,1.53373481e-04
5.85568568e-03,1.36428008e-04
5.89346430e-03,1.32631772e-04
5.93124292e-03,1.42428207e-04
5.96902153e-03,1.65258679e-04
6.00680015e-03,1.99588812e-04
6.04457877e-03,2.42832514e-04
6.08235739e-03,2.91289949e-04
6.12013600e-03,3.40268084e-04
6.15791462e-03,3.84505631e-04
6.19569324e-03,4.18901899e-04
6.23347185e-03,4.39412231e-04
6.27125047e-03,4.43883644e-04
6.30902909e-03,4.32599095e-04
6.34680771e-03,4.08373139e-04
6.38458632e-03,3.76160675e-04
6.42236494e-03,3.42259849e-04
6.46014356e-03,3.13274255e-04
6.49792218e-03,2.95033534e-04
6.53570079e-03,2.91658024e-04
6.57347941e-03,3.04907094e-04
6.61125803e-03,3.33889592e-04
6.64903665e-03,3.75154893e-04
6.68681526e-03,4.23136277e-04
6.72459388e-03,4.70888048e-04
6.76237250e-03,5.11039710e-04
6.80015111e-03,5.36870469e-04
6.83792973e-03,5.43375226e-04
6.87570835e-03,5.28152525e-04
6.91348697e-03,4.91922775e-04
6.95126558e-03,4.38515919e-04
6.98904420e-03,3.74272205e-04
7.02682282e-03,3.06957362e-04
7.06460144e-03,2.44443811e-04
7.10238005e-03,1.93478128e-04
7.14015867e-03,1.58803490e-04
7.17793729e-03,1.42755748e-04
7.21571590e-03,1.45282672e-04
7.25349452e-03,1.64232122e-04
7.29127314e-03,1.95758919e-04
7.32905176e-03,2.34782701e-04
7.36683037e-03,2.75517940e-04
7.40460899e-03,3.12122918e-04
7.44238761e-03,3.39458561e-04
7.48016623e-03,3.53847627e-04
7.51794484e-03,3.53648705e-04
7.55572346e-03,3.39460734e-04
7.59350208e-03,3.13864431e-04
7.63128070e-03,2.80751400e-04
7.66905931e-03,2.44431410e-04
7.70683793e-03,2.08782744e-04
7.74461655e-03,1.76685625e-04
7.78239516e-03,1.49860405e-04
7.82017378e-03,1.29069544e-04
7.85795240e-03,1.14506948e-04
