BJD-2450000,Ha,eHa,nothing1,Ca,nothing2,eCa,nothing3,NaD,eNaD,FWHM,eFWHM,Ins
2743.3873,0.4754,0.0019,,,,,,,,,,UVES
2763.3957,0.4959,0.0012,,,,,,,,,,UVES
2804.1585,0.4814,0.0018,,,,,,,,,,UVES
2839.0807,0.5003,0.0016,,,,,,,,,,UVES
3082.3893,0.4763,0.0016,,,,,,,,,,UVES
3088.3837,0.5068,0.0017,,,,,,,,,,UVES
3099.3621,0.4815,0.0019,,,,,,,,,,UVES
3125.3776,0.4727,0.0013,,,,,,,,,,UVES
3165.2780,0.4894,0.0013,,,,,,,,,,UVES
3191.1412,0.4725,0.0016,,,,,,,,,,UVES
3237.8911,0.4796,0.0009,,3.326,,0.017,,,,,,HIRES
3277.0367,0.5024,0.0014,,,,,,,,,,UVES
3301.7420,0.4807,0.0010,,5.189,,0.020,,,,,,HIRES
3430.3658,0.4929,0.0020,,,,,,,,,,UVES
3445.3931,0.4749,0.0017,,,,,,,,,,UVES
3446.3234,0.4864,0.0016,,,,,,,,,,UVES
3483.3611,0.4890,0.0020,,,,,,,,,,UVES
3505.3574,0.4976,0.0021,,,,,,,,,,UVES
3520.1724,0.5008,0.0018,,,,,,,,,,UVES
3533.1918,0.5012,0.0019,,,,,,,,,,UVES
3549.2308,0.4847,0.0012,,,,,,,,,,UVES
3550.9135,0.4847,0.0009,,2.872,,0.015,,,,,,HIRES
3602.8522,0.4932,0.0006,,3.705,,0.018,,,,,,HIRES
3621.9939,0.4870,0.0012,,,,,,,,,,UVES
3658.0121,0.4994,0.0012,,,,,,,,,,UVES
3807.1247,0.4824,0.0011,,3.360,,0.016,,,,,,HIRES
3926.9585,0.4952,0.0011,,2.758,,0.017,,,,,,HIRES
3933.8507,0.4919,0.0008,,2.850,,0.019,,,,,,HIRES
3934.8190,0.4933,0.0006,,2.824,,0.017,,,,,,HIRES
3960.8986,0.4983,0.0006,,4.152,,0.017,,,,,,HIRES
3961.8594,0.4913,0.0011,,3.848,,0.018,,,,,,HIRES
3962.8078,0.4894,0.0007,,3.706,,0.018,,,,,,HIRES
3963.8329,0.4901,0.0008,,3.399,,0.019,,,,,,HIRES
4194.8939,0.4881,0.0012,,3.761,,0.036,,0.175,0.010,4.515707,0.000073,HARPS-Pre2015
4196.8834,0.4875,0.0012,,3.729,,0.045,,0.174,0.010,4.512791,0.000061,HARPS-Pre2015
4197.8948,0.4858,0.0012,,3.531,,0.040,,0.172,0.010,4.514933,0.000071,HARPS-Pre2015
4198.8903,0.5008,0.0013,,4.313,,0.049,,0.187,0.010,4.521056,0.000067,HARPS-Pre2015
